Run,Type,Target,EBeam,P_SHMS,Theta_SHMS,P_HMS,Theta_HMS,Current,PS1,PS4,PS5,HMS_Rate_(kHz),SHMS_Rate_(kHz),Coin_Rate_(kHz),Charge_(mC),Raw_HMS,Raw_SHMS,Raw_Coin,EDTM,SHMS_Hadron_Tracking,Comments
13054,HeePCoin,LH2,5.985,3.4,28.28,3.4,-28.285,33.867,6,1,0,0.177,2.722,0.03,5.271,8k,8k,4k,2k,0.997,1267
13055,HeePCoin,LH2,5.985,3.4,28.28,3.4,-28.285,47.631,6,1,0,0.194,3.038,0.033,86.315,133k,124k,49k,18k,0.996,20450
13056,HeePCoin,LH2,5.985,3.4,28.28,3.4,-28.285,49.365,6,1,0,0.194,3.047,0.033,121.316,187k,175k,68k,25k,0.996,28554
13057,HeePCoin,Dummy10cm,5.985,3.4,28.28,3.4,-28.285,38.45,6,1,0,0.047,0.906,0.01,24.544,15k,18k,7k,6k,0.995,13
13058,HeePCoin,LH2,5.985,3.493,27.495,3.271,-29.17,50.85,6,1,0,0.18,3.13,0.029,90.216,130k,135k,46k,18k,0.996,17873
13060,HeePCoin,LH2,5.985,3.493,27.495,3.271,-29.17,50.119,6,1,0,0.163,2.864,0.027,7.322,10k,11k,4k,1k,0.996,1437
13061,HeePCoin,LH2,5.985,3.493,27.495,3.271,-29.17,40.477,6,1,0,0.174,3.013,0.029,120.677,177k,181k,67k,30k,0.995,23897
13062,Prod,Dummy10cm,5.985,3.493,27.495,3.271,-29.17,36.938,6,1,0,0.045,0.898,0.01,27.906,17k,20k,8k,8k,0.995,0
13063,Prod,LH2,5.985,3.493,13.785,2.229,-31.15,49.607,12,5,0,1.304,186.955,0.033,90.915,109k,130k,52k,18k,0.99,1235
13064,Prod,LH2,5.985,3.493,13.785,2.229,-31.15,47.116,12,5,0,1.296,185.871,0.033,84.745,102k,121k,49k,18k,0.99,1118
13065,Prod,LH2,5.985,3.493,13.785,2.229,-31.15,43.076,12,5,0,1.263,181.183,0.033,84.471,102k,121k,51k,20k,0.989,1190
13066,Prod,LH2,5.985,3.493,13.785,2.229,-31.15,38.076,12,5,0,1.272,182.341,0.033,87.567,106k,125k,56k,23k,0.99,1256
13067,Prod,LH2,5.985,3.493,13.785,2.229,-31.15,52.352,12,5,0,1.298,186.134,0.033,98.232,118k,140k,55k,19k,0.99,1293
13068,Prod,LH2,5.985,3.493,13.785,2.229,-31.15,55.287,12,5,0,1.308,187.637,0.033,126.399,152k,180k,69k,23k,0.989,1687
13070,Prod,LH2,5.985,3.493,13.785,2.229,-31.15,37.345,12,0,-1,1.287,184.487,0.033,107.268,2201k,153k,68k,29k,0.99,1444
13071,Prod,LH2,5.985,3.493,13.785,2.229,-31.15,56.57,12,0,-1,1.312,188.145,0.034,111.916,2285k,160k,61k,20k,0.99,1470
13073,Prod,LH2,5.985,3.493,13.785,2.229,-31.15,46.862,12,5,0,1.325,189.952,0.034,119.31,144k,170k,70k,25k,0.989,1552
13075,Prod,Dummy10cm,5.985,3.493,13.785,2.229,-31.15,31.043,9,2,0,0.275,27.681,0.011,60.741,150k,174k,22k,20k,1,22
13076,Prod,LH2,5.985,3.493,15.79,2.229,-31.15,14.474,11,5,0,1.036,80.344,0.023,4.278,5k,7k,4k,3k,0.998,77
13077,Prod,LH2,5.985,3.493,15.79,2.229,-31.15,66.799,11,5,0,1.337,104.379,0.027,16.833,20k,26k,7k,3k,0.993,227
13078,Prod,LH2,5.985,3.493,15.79,2.229,-31.15,59.987,11,0,-1,1.341,104.391,0.027,214.413,4378k,332k,92k,36k,0.993,3084
13079,Prod,LH2,5.985,3.493,15.79,2.229,-31.15,57.784,11,0,-1,1.305,101.414,0.027,210.994,4317k,327k,92k,36k,0.992,3199
13080,Prod,LH2,5.985,3.493,15.79,2.229,-31.15,62.175,11,5,0,1.321,102.674,0.027,73.616,89k,114k,31k,12k,0.991,1056
13081,Prod,LH2,5.985,3.493,15.79,2.229,-31.15,60.795,11,5,0,1.335,103.817,0.027,218.768,263k,339k,93k,36k,0.992,3057
13082,Prod,LH2,5.985,3.493,15.79,2.229,-31.15,58.758,11,5,0,1.34,104.169,0.027,112.384,135k,174k,49k,19k,0.991,1639
13084,Prod,Dummy10cm,5.985,3.493,15.79,2.229,-31.15,34.585,8,2,0,0.278,16.294,0.011,60.86,149k,203k,19k,18k,0.997,31 pions
13085,Prod,LH2,5.985,3.493,17.795,2.229,-31.15,52.636,10,5,0,1.23,50.574,0.021,13.636,16k,22k,5k,3k,0.995,188
13086,Prod,LH2,5.985,3.493,17.795,2.229,-31.15,64.52,10,0,-1,1.344,55.16,0.022,231.799,4740k,379k,80k,36k,0.995,3039
13087,Prod,LH2,5.985,3.493,17.795,2.229,-31.15,66.004,10,5,0,1.345,55.264,0.023,83.386,100k,137k,29k,13k,0.993,1116
13088,Prod,LH2,5.985,3.493,17.795,2.229,-31.15,61.406,10,5,0,1.325,54.369,0.022,221.728,267k,363k,78k,36k,0.995,2918
13089,Prod,LH2,5.985,3.493,17.795,2.229,-31.15,54.462,10,5,0,1.3,53.309,0.022,195.373,236k,320k,74k,36k,0.994,2562
13090,Prod,LH2,5.985,3.493,17.795,2.229,-31.15,57.842,10,5,0,1.295,53.079,0.022,107.503,130k,176k,39k,19k,0.995,1484
13091,Prod,Dummy10cm,5.985,3.493,17.795,2.229,-31.15,31.963,10,5,0,0.274,9.301,0.011,47.24,21k,23k,16k,15k,1,32
13092,HeePSing,LH2,5.985,5.512,9.43,5.202,-12.4,24.375,10,7,-1,48.617,385.35,385.35,22.995,640k,642k,642k,11k,0.992,n/a
13093,HeePSing,Dummy10cm,5.985,5.512,9.43,5.202,-12.4,24.968,10,7,-1,15.965,145.147,145.147,10.871,97k,111k,111k,5k,0.997,n/a
13094,HeePSing,Dummy10cm,5.985,5.512,8.255,5.202,-13.785,10.187,10,5,-1,2.368,132.412,132.412,5.423,67k,123k,123k,6k,0.997,n/a
13095,HeePSing,LH2,5.985,5.512,8.255,5.202,-13.785,6.135,10,4,-1,7.202,357.115,357.115,8.721,631k,548k,548k,3k,0.994,
