Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset,PiRFLow,PiRFHigh,KRFLow,KRFHigh,pRFLow,pRFHigh
4870,4870,4.008,0.25,2,6,0,0.07,0.55,0.119,1.5,2.5,0.75,1.75,0,0.75
4876,4876,4.008,0.25,2,6,0,-0.07,0.54,0.119,1.5,2.5,0.75,1.75,0,0.75
4877,4877,4.008,0.25,2,6,0,0.01,0.49,0.119,1.5,2.5,0.75,1.75,0,0.75
4878,4878,4.008,0.25,2,6,0,-0.01,0.5,0.119,1.5,2.5,0.75,1.75,0,0.75
4879,4879,4.008,0.25,2,6,0,-0.02,0.48,0.119,1.5,2.5,0.75,1.75,0,0.75
4880,4880,4.008,0.25,2,6,0,0.2,0.57,0.119,1.5,2.5,0.75,1.75,0,0.75
4881,4881,4.008,0.25,2,6,0,1.73,0.51,0.119,1.5,2.5,0.75,1.75,0,0.75
4882,4882,4.008,0.25,2,6,0,0.15,0.52,0.113,1.5,2.5,0.75,1.75,0,0.75
4884,4884,4.008,0.25,2,6,0,0.06,0.57,0.113,1.5,2.5,0.75,1.75,0,0.75
4885,4885,4.008,0.25,2,6,0,0.15,0.54,0.113,1.5,2.5,0.75,1.75,0,0.75
4887,4887,4.008,0.25,2,6,0,0.18,0.54,0.113,1.5,2.5,0.75,1.75,0,0.75
4888,4888,4.008,0.25,2,6,0,0.16,0.55,0.113,1.5,2.5,0.75,1.75,0,0.75
4889,4889,4.008,0.25,2,6,0,0.09,0.54,0.113,1.5,2.5,0.75,1.75,0,0.75
4890,4890,4.008,0.25,2,6,0,0.15,0.53,0.113,1.5,2.5,0.75,1.75,0,0.75
4892,4892,4.008,0.25,2,6,0,0.17,0.38,-1,1.5,2.5,0.75,1.75,0,0.75
4893,4893,4.008,0.25,2,6,0,0.12,0.4,-1,1.5,2.5,0.75,1.75,0,0.75
4894,4894,4.008,0.25,2,6,0,0.04,0.36,-1,1.5,2.5,0.75,1.75,0,0.75
4895,4895,4.008,0.25,2,6,0,0.16,0.37,-1,1.5,2.5,0.75,1.75,0,0.75
4896,4896,4.008,0.25,2,6,0,0.09,0.38,-1,1.5,2.5,0.75,1.75,0,0.75
4897,4897,4.008,0.25,2,6,0,0.13,0.34,-1,1.5,2.5,0.75,1.75,0,0.75
4898,4898,4.008,0.25,2,6,0,0.08,0.31,-1,1.5,2.5,0.75,1.75,0,0.75
4899,4899,4.008,0.25,2,6,0,0.16,0.44,-1,1.5,2.5,0.75,1.75,0,0.75
