Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset
7871,7871,4.008,0.250,2,6,43.807,43.480,45.532,0.232
7872,7872,4.008,0.250,2,6,43.806,43.459,45.536,0.232
7873,7873,4.008,0.250,2,6,43.798,43.467,45.531,0.232
7874,7874,4.008,0.250,2,6,43.801,43.436,45.529,0.232
7875,7875,4.008,0.250,2,6,43.800,43.445,45.518,0.232
7876,7876,4.008,0.250,2,6,43.798,43.473,45.521,0.232
7877,7877,4.008,0.250,2,6,43.798,43.463,45.533,0.232
7882,7882,4.008,0.250,2,6,43.796,43.506,45.553,0.235
7883,7883,4.008,0.250,2,6,43.799,43.530,45.556,0.235
7884,7884,4.008,0.250,2,6,43.812,43.528,45.555,0.235
7885,7885,4.008,0.250,2,6,43.819,43.536,45.571,0.235
7886,7886,4.008,0.250,2,6,43.811,43.521,45.571,0.235
7887,7887,4.008,0.250,2,6,43.813,43.529,45.565,0.235
7891,7891,4.008,0.250,2,6,43.747,43.695,44.689,0.230
7892,7892,4.008,0.250,2,6,43.753,43.781,44.654,0.230
7893,7893,4.008,0.250,2,6,43.758,43.656,44.633,0.230
7894,7894,4.008,0.250,2,6,43.765,43.703,44.667,0.230
7895,7895,4.008,0.250,2,6,43.749,43.650,44.674,0.230
7896,7896,4.008,0.250,2,6,43.756,43.685,44.658,0.230
7899,7899,4.008,0.250,2,6,43.755,43.711,44.695,0.230
7900,7900,4.008,0.250,2,6,43.751,43.658,44.669,0.230
7901,7901,4.008,0.250,2,6,43.764,43.733,44.695,0.230
7902,7902,4.008,0.250,2,6,43.769,43.687,44.677,0.230
7903,7903,4.008,0.250,2,6,43.762,43.719,44.696,0.230
7904,7904,4.008,0.250,2,6,43.769,43.703,44.664,0.230
7905,7905,4.008,0.250,2,6,43.758,43.741,44.667,0.230
7906,7906,4.008,0.250,2,6,43.760,43.693,44.654,0.230
7907,7907,4.008,0.250,2,6,43.750,43.680,44.658,0.230
7908,7908,4.008,0.250,2,6,43.751,43.726,44.591,0.230
7909,7909,4.008,0.250,2,6,43.750,43.614,44.656,0.197
7910,7910,4.008,0.250,2,6,43.765,43.610,44.692,0.197
7911,7911,4.008,0.250,2,6,43.720,43.577,44.669,0.197
7912,7912,4.008,0.250,2,6,43.708,43.550,44.585,0.197
7913,7913,4.008,0.250,2,6,43.709,43.641,44.644,0.197
7914,7914,4.008,0.250,2,6,43.743,43.606,44.600,0.197
7915,7915,4.008,0.250,2,6,43.753,43.624,44.635,0.197
7916,7916,4.008,0.250,2,6,43.741,43.581,44.666,0.197
7917,7917,4.008,0.250,2,6,43.734,43.575,44.653,0.197
7918,7918,4.008,0.250,2,6,43.712,43.628,44.350,0.197
7919,7919,4.008,0.250,2,6,43.738,43.642,44.661,0.197
7920,7920,4.008,0.250,2,6,43.739,43.604,44.611,0.197
7925,7925,4.008,0.250,2,6,43.738,43.605,44.635,0.197
7926,7926,4.008,0.250,2,6,43.739,43.631,44.624,0.197
7927,7927,4.008,0.250,2,6,43.719,43.586,44.622,0.197
7928,7928,4.008,0.250,2,6,43.740,43.621,44.699,0.197
7930,7930,4.008,0.250,2,6,43.772,43.507,44.661,0.197
7931,7931,4.008,0.250,2,6,43.716,43.646,44.633,0.197
7932,7932,4.008,0.250,2,6,43.730,43.598,44.612,0.197
7933,7933,4.008,0.250,2,6,43.738,43.636,44.641,0.197
