Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset
8497,8497,4.008,0.250,2,6,43.962,42.753,48.010,-1.990
8498,8498,4.008,0.250,2,6,43.970,42.752,48.087,-1.990
8500,8500,4.008,0.250,2,6,43.976,42.723,48.055,-1.990
8503,8503,4.008,0.250,2,6,44.051,42.733,48.167,-1.990
8504,8504,4.008,0.250,2,6,43.992,42.743,48.069,-1.990
8505,8505,4.008,0.250,2,6,43.888,42.746,48.077,-1.990
8506,8506,4.008,0.250,2,6,43.944,42.758,48.102,-1.990
8509,8509,4.008,0.250,2,6,43.929,42.763,48.034,-1.990
8510,8510,4.008,0.250,2,6,43.899,42.747,48.036,-1.990
8511,8511,4.008,0.250,2,6,43.969,42.765,48.014,-1.990
8512,8512,4.008,0.250,2,6,43.886,42.751,47.962,-1.990
8513,8513,4.008,0.250,2,6,43.963,42.717,47.909,-1.990
8514,8514,4.008,0.250,2,6,43.950,42.726,47.948,-1.990
8515,8515,4.008,0.250,2,6,43.968,42.743,47.935,-1.990
8519,8519,4.008,0.250,2,6,44.093,42.761,48.194,-1.990
8522,8522,4.008,0.250,2,6,43.969,42.800,48.065,-1.990
8523,8523,4.008,0.250,2,6,43.979,42.789,48.029,-1.990
8524,8524,4.008,0.250,2,6,44.037,42.787,48.048,-1.990
8525,8525,4.008,0.250,2,6,43.974,42.770,48.055,-1.990
8526,8526,4.008,0.250,2,6,43.976,42.782,48.026,-1.990
8527,8527,4.008,0.250,2,6,43.989,42.789,48.064,-1.990
8528,8528,4.008,0.250,2,6,43.999,42.780,48.085,-1.990
8530,8530,4.008,0.250,2,6,44.011,42.806,48.104,-1.990
8531,8531,4.008,0.250,2,6,44.071,42.788,48.093,-1.990
8532,8532,4.008,0.250,2,6,44.029,42.792,48.106,-1.990
8533,8533,4.008,0.250,2,6,44.016,42.793,48.105,-1.990
8534,8534,4.008,0.250,2,6,43.982,42.772,48.103,-1.990
8535,8535,4.008,0.250,2,6,43.998,42.784,48.112,-1.990
8536,8536,4.008,0.250,2,6,44.007,42.779,48.076,-1.990
8537,8537,4.008,0.250,2,6,44.009,42.757,48.170,-1.990
8538,8538,4.008,0.250,2,6,44.021,42.760,48.159,-1.990
8539,8539,4.008,0.250,2,6,44.014,42.749,48.182,-1.990
8540,8540,4.008,0.250,2,6,43.981,42.752,48.178,-1.990
8544,8544,4.008,0.250,2,6,43.957,42.724,48.085,-1.990
8545,8545,4.008,0.250,2,6,43.939,42.719,48.096,-1.990
8546,8546,4.008,0.250,2,6,44.012,42.741,48.114,-1.990
8547,8547,4.008,0.250,2,6,43.995,42.745,48.111,-1.990
8573,8573,4.008,0.250,2,6,44.089,42.877,47.799,-1.990
8574,8574,4.008,0.250,2,6,44.083,42.887,47.866,-1.990
8575,8575,4.008,0.250,2,6,44.072,42.880,47.815,-1.990
8576,8576,4.008,0.250,2,6,44.092,42.903,47.836,-1.990
8577,8577,4.008,0.250,2,6,44.044,42.898,47.818,-1.990
8578,8578,4.008,0.250,2,6,43.974,42.880,47.870,-1.990
8579,8579,4.008,0.250,2,6,44.079,42.896,47.824,-1.990
8580,8580,4.008,0.250,2,6,44.083,42.903,47.812,-1.990
8581,8581,4.008,0.250,2,6,44.044,42.891,47.797,-1.990
8582,8582,4.008,0.250,2,6,43.996,42.880,47.845,-1.990
8583,8583,4.008,0.250,2,6,44.044,42.898,47.816,-1.990
8584,8584,4.008,0.250,2,6,44.044,42.892,47.816,-1.990
8585,8585,4.008,0.250,2,6,44.003,42.768,48.084,-1.990
8586,8586,4.008,0.250,2,6,44.022,42.775,48.118,-1.990
8587,8587,4.008,0.250,2,6,44.011,42.765,48.096,-1.990
8603,8603,4.008,0.250,2,6,44.069,42.839,48.151,-1.990
8604,8604,4.008,0.250,2,6,44.074,42.835,48.165,-1.990
8605,8605,4.008,0.250,2,6,44.087,42.841,48.162,-1.990
8606,8606,4.008,0.250,2,6,44.070,42.840,48.169,-1.990
8607,8607,4.008,0.250,2,6,44.089,42.849,48.174,-1.990
8608,8608,4.008,0.250,2,6,44.075,42.847,48.170,-1.990
8609,8609,4.008,0.250,2,6,44.078,42.852,48.171,-1.990
8610,8610,4.008,0.250,2,6,44.084,42.858,48.183,-1.990
8611,8611,4.008,0.250,2,6,44.087,42.849,48.155,-1.990
8612,8612,4.008,0.250,2,6,44.069,42.857,48.183,-1.990
8613,8613,4.008,0.250,2,6,44.088,42.853,48.170,-1.990
8614,8614,4.008,0.250,2,6,44.077,42.848,48.177,-1.990
8615,8615,4.008,0.250,2,6,44.106,42.859,48.198,-1.990
8616,8616,4.008,0.250,2,6,44.027,42.830,48.217,-1.990
8617,8617,4.008,0.250,2,6,44.078,42.845,48.162,-1.990
8618,8618,4.008,0.250,2,6,44.092,42.847,48.188,-1.990
8620,8620,4.008,0.250,2,6,43.977,42.764,48.191,-1.990
8621,8621,4.008,0.250,2,6,44.038,42.816,48.203,-1.990
8622,8622,4.008,0.250,2,6,44.096,42.842,48.181,-1.990
8623,8623,4.008,0.250,2,6,44.091,42.839,48.204,-1.990
8624,8624,4.008,0.250,2,6,44.108,42.850,48.192,-1.990
8625,8625,4.008,0.250,2,6,44.070,42.842,48.179,-1.990
8626,8626,4.008,0.250,2,6,44.092,42.846,48.216,-1.990
8627,8627,4.008,0.250,2,6,44.091,42.843,48.189,-1.990
8628,8628,4.008,0.250,2,6,44.132,42.846,48.234,-1.990
8629,8629,4.008,0.250,2,6,44.108,42.836,48.200,-1.990
8630,8630,4.008,0.250,2,6,44.129,42.849,48.241,-1.990
8631,8631,4.008,0.250,2,6,44.098,42.845,48.230,-1.990
8632,8632,4.008,0.250,2,6,44.114,42.850,48.219,-1.990
8633,8633,4.008,0.250,2,6,44.123,42.843,48.227,-1.990
8634,8634,4.008,0.250,2,6,44.107,42.845,48.234,-1.990
8635,8635,4.008,0.250,2,6,44.089,42.834,48.210,-1.990
8636,8636,4.008,0.250,2,6,44.109,42.841,48.203,-1.990
8645,8645,4.008,0.250,2,6,44.079,42.811,48.225,-1.990
8646,8646,4.008,0.250,2,6,44.069,42.798,48.206,-1.990
8647,8647,4.008,0.250,2,6,44.067,42.786,48.184,-1.990
8648,8648,4.008,0.250,2,6,44.082,42.800,48.188,-1.990
8649,8649,4.008,0.250,2,6,44.082,42.801,48.220,-1.990
8650,8650,4.008,0.250,2,6,44.073,42.799,48.199,-1.990
8651,8651,4.008,0.250,2,6,44.064,42.782,48.185,-1.990
8652,8652,4.008,0.250,2,6,44.035,42.771,48.176,-1.990
8653,8653,4.008,0.250,2,6,44.076,42.782,48.179,-1.990
8661,8661,4.008,0.250,2,6,44.048,42.909,47.826,-1.990
8662,8662,4.008,0.250,2,6,44.108,42.926,47.824,-1.990
8663,8663,4.008,0.250,2,6,44.043,42.919,47.862,-1.990
8664,8664,4.008,0.250,2,6,44.066,42.916,47.847,-1.990
8665,8665,4.008,0.250,2,6,44.033,42.923,47.829,-1.990
8666,8666,4.008,0.250,2,6,44.069,42.925,47.851,-1.990
8667,8667,4.008,0.250,2,6,43.975,42.926,47.796,-1.990
8668,8668,4.008,0.250,2,6,44.028,42.929,47.851,-1.990
8669,8669,4.008,0.250,2,6,44.084,42.924,47.851,-1.990
8670,8670,4.008,0.250,2,6,44.061,42.913,47.853,-1.990
8671,8671,4.008,0.250,2,6,44.060,42.916,47.848,-1.990
8672,8672,4.008,0.250,2,6,44.043,42.922,47.859,-1.990
8673,8673,4.008,0.250,2,6,44.097,42.915,47.870,-1.990
8674,8674,4.008,0.250,2,6,44.035,42.886,47.810,-1.990
8675,8675,4.008,0.250,2,6,44.017,42.900,47.854,-1.990
8676,8676,4.008,0.250,2,6,43.955,42.908,47.859,-1.990
8677,8677,4.008,0.250,2,6,44.081,42.897,47.836,-1.990
8678,8678,4.008,0.250,2,6,44.044,42.882,47.836,-1.990
8679,8679,4.008,0.250,2,6,44.027,42.869,47.824,-1.990
8681,8681,4.008,0.250,2,6,44.070,42.820,48.076,-1.990
8683,8683,4.008,0.250,2,6,44.067,42.822,48.065,-1.990
8684,8684,4.008,0.250,2,6,44.069,42.819,48.076,-1.990
8686,8686,4.008,0.250,2,6,44.081,42.853,48.147,-1.990
8687,8687,4.008,0.250,2,6,44.064,42.806,48.056,-1.990
8688,8688,4.008,0.250,2,6,44.062,42.824,48.087,-1.990
8689,8689,4.008,0.250,2,6,44.069,42.822,48.073,-1.990
8690,8690,4.008,0.250,2,6,44.099,42.843,48.115,-1.990
8691,8691,4.008,0.250,2,6,44.104,42.839,48.122,-1.990
8692,8692,4.008,0.250,2,6,44.104,42.844,48.117,-1.990
8693,8693,4.008,0.250,2,6,44.076,42.826,48.110,-1.990
8695,8695,4.008,0.250,2,6,44.091,42.838,48.110,-1.990
8696,8696,4.008,0.250,2,6,44.097,42.829,48.105,-1.990
8697,8697,4.008,0.250,2,6,44.121,42.865,48.159,-1.990
8698,8698,4.008,0.250,2,6,44.079,42.820,48.123,-1.990
8699,8699,4.008,0.250,2,6,44.116,42.855,48.163,-1.990
8704,8704,4.008,0.250,2,6,44.088,42.831,48.144,-1.990
8705,8705,4.008,0.250,2,6,44.078,42.821,48.138,-1.990
8706,8706,4.008,0.250,2,6,44.102,42.845,48.190,-1.990
8707,8707,4.008,0.250,2,6,44.077,42.819,48.144,-1.990
8708,8708,4.008,0.250,2,6,44.056,42.812,48.231,-1.990
8709,8709,4.008,0.250,2,6,44.080,42.820,48.141,-1.990
8711,8711,4.008,0.250,2,6,44.111,42.833,48.212,-1.990
8712,8712,4.008,0.250,2,6,44.097,42.823,48.169,-1.990
8713,8713,4.008,0.250,2,6,44.095,42.819,48.185,-1.990
8714,8714,4.008,0.250,2,6,44.090,42.816,48.161,-1.990
8715,8715,4.008,0.250,2,6,44.094,42.811,48.151,-1.990
8716,8716,4.008,0.250,2,6,44.096,42.812,48.164,-1.990
8717,8717,4.008,0.250,2,6,44.087,42.812,48.157,-1.990
8718,8718,4.008,0.250,2,6,44.114,42.844,48.215,-1.990
8721,8721,4.008,0.250,2,6,44.088,42.817,48.203,-1.990
8722,8722,4.008,0.250,2,6,44.104,42.827,48.229,-1.990
8723,8723,4.008,0.250,2,6,44.105,42.815,48.221,-1.990
8724,8724,4.008,0.250,2,6,44.124,42.837,48.254,-1.990
8725,8725,4.008,0.250,2,6,44.118,42.826,48.230,-1.990
8726,8726,4.008,0.250,2,6,44.124,42.807,48.250,-1.990
8727,8727,4.008,0.250,2,6,44.135,42.832,48.283,-1.990
8728,8728,4.008,0.250,2,6,44.109,42.810,48.262,-1.990
8729,8729,4.008,0.250,2,6,44.121,42.828,48.270,-1.990
8730,8730,4.008,0.250,2,6,44.112,42.813,48.254,-1.990
8733,8733,4.008,0.250,2,6,44.103,42.865,48.096,-1.990
8734,8734,4.008,0.250,2,6,44.106,42.867,48.094,-1.990
8735,8735,4.008,0.250,2,6,44.098,42.869,48.084,-1.990
8736,8736,4.008,0.250,2,6,44.093,42.865,48.092,-1.990
8737,8737,4.008,0.250,2,6,44.101,42.865,48.096,-1.990
8738,8738,4.008,0.250,2,6,44.109,42.868,48.096,-1.990
8739,8739,4.008,0.250,2,6,44.116,42.870,48.081,-1.990
8740,8740,4.008,0.250,2,6,44.101,42.871,48.092,-1.990
8741,8741,4.008,0.250,2,6,44.111,42.868,48.090,-1.990
8742,8742,4.008,0.250,2,6,44.119,42.866,48.082,-1.990
8743,8743,4.008,0.250,2,6,44.106,42.868,48.095,-1.990
8744,8744,4.008,0.250,2,6,44.100,42.868,48.127,-1.990
8745,8745,4.008,0.250,2,6,44.097,42.855,48.074,-1.990
8746,8746,4.008,0.250,2,6,44.104,42.867,48.102,-1.990
8747,8747,4.008,0.250,2,6,44.108,42.869,48.093,-1.990
8748,8748,4.008,0.250,2,6,44.110,42.871,48.090,-1.990
8749,8749,4.008,0.250,2,6,44.106,42.868,48.103,-1.990
8750,8750,4.008,0.250,2,6,44.112,42.873,48.118,-1.990
8751,8751,4.008,0.250,2,6,44.100,42.868,48.095,-1.990
8752,8752,4.008,0.250,2,6,44.107,42.868,48.096,-1.990
8759,8759,4.008,0.250,2,6,44.071,42.837,48.085,-1.990
8760,8760,4.008,0.250,2,6,44.108,42.864,48.108,-1.990
8761,8761,4.008,0.250,2,6,44.112,42.873,48.116,-1.990
8762,8762,4.008,0.250,2,6,44.108,42.860,48.106,-1.990
8763,8763,4.008,0.250,2,6,44.115,42.877,48.152,-1.990
8764,8764,4.008,0.250,2,6,44.106,42.853,48.122,-1.990
8765,8765,4.008,0.250,2,6,44.105,42.853,48.122,-1.990
8766,8766,4.008,0.250,2,6,44.118,42.865,48.133,-1.990
8769,8769,4.008,0.250,2,6,44.116,42.857,48.176,-1.990
8770,8770,4.008,0.250,2,6,44.103,42.841,48.154,-1.990
8771,8771,4.008,0.250,2,6,44.120,42.847,48.159,-1.990
8772,8772,4.008,0.250,2,6,44.140,42.871,48.178,-1.990
8773,8773,4.008,0.250,2,6,44.121,42.854,48.168,-1.990
8774,8774,4.008,0.250,2,6,44.119,42.853,48.160,-1.990
8781,8781,4.008,0.250,2,6,44.093,43.188,46.952,-1.990
8782,8782,4.008,0.250,2,6,44.081,43.179,46.972,-1.990
8783,8783,4.008,0.250,2,6,44.086,43.180,46.957,-1.990
8784,8784,4.008,0.250,2,6,44.072,43.181,46.953,-1.990
8785,8785,4.008,0.250,2,6,44.071,43.190,46.979,-1.990
8786,8786,4.008,0.250,2,6,44.082,43.188,46.970,-1.990
8787,8787,4.008,0.250,2,6,44.071,43.183,46.967,-1.990
8788,8788,4.008,0.250,2,6,44.082,43.189,46.974,-1.990
8792,8792,4.008,0.250,2,6,44.066,43.164,46.963,-1.990
8793,8793,4.008,0.250,2,6,44.080,43.172,46.953,-1.990
8794,8794,4.008,0.250,2,6,44.066,43.172,46.931,-1.990
8795,8795,4.008,0.250,2,6,44.080,43.176,46.949,-1.990
8796,8796,4.008,0.250,2,6,44.065,43.172,46.966,-1.990
8797,8797,4.008,0.250,2,6,44.078,43.183,46.953,-1.990
8798,8798,4.008,0.250,2,6,44.079,43.181,46.953,-1.990
8799,8799,4.008,0.250,2,6,44.087,43.192,46.996,-1.990
8800,8800,4.008,0.250,2,6,44.075,43.186,46.980,-1.990
8801,8801,4.008,0.250,2,6,44.078,43.187,46.952,-1.990
