Physics_Setting,Beam_Energy,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,1,0.1600,0.2360,0.1980,15,180.0000,3.619466,0.002378,2.674897,0.000594,0.285261,0.000160,0.019485,0.000144
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,2,0.2360,0.2720,0.2540,15,180.0000,3.789573,0.002832,2.631219,0.000741,0.291741,0.000201,0.025598,0.000171
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,3,0.2720,0.3080,0.2900,15,180.0000,3.886412,0.003982,2.606847,0.001028,0.294729,0.000232,0.029243,0.000220
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,4,0.3080,0.3540,0.3310,15,180.0000,3.952111,0.004885,2.590249,0.001255,0.296707,0.000255,0.033493,0.000262
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,5,0.3540,0.5000,0.4270,15,180.0000,4.048675,0.005508,2.566042,0.001393,0.299455,0.000275,0.038713,0.000337
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,1,0.1600,0.2360,0.1980,15,180.0000,3.612183,0.005156,2.673362,0.001356,0.287615,0.000363,0.024782,0.000284
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,2,0.2360,0.2720,0.2540,15,180.0000,3.753968,0.004390,2.638638,0.001163,0.291721,0.000294,0.029516,0.000262
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,3,0.2720,0.3080,0.2900,15,180.0000,3.821446,0.004751,2.622206,0.001225,0.293395,0.000265,0.036080,0.000260
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,4,0.3080,0.3540,0.3310,15,180.0000,3.860770,0.004404,2.612525,0.001127,0.294401,0.000229,0.043526,0.000233
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,5,0.3540,0.5000,0.4270,15,180.0000,3.896693,0.004456,2.606402,0.001149,0.293194,0.000222,0.053543,0.000242
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.648537,0.003512,2.664540,0.000840,0.778472,0.000075,0.022009,0.000186
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.822337,0.005399,2.624111,0.001295,0.779231,0.000105,0.029118,0.000289
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,3,0.2720,0.3080,0.2900,15,180.0000,3.868539,0.006967,2.612551,0.001697,0.779570,0.000116,0.035409,0.000368
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,4,0.3080,0.3540,0.3310,15,180.0000,3.911661,0.007530,2.602019,0.001848,0.779907,0.000122,0.042768,0.000392
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,5,0.3540,0.5000,0.4270,15,180.0000,3.935025,0.006440,2.596006,0.001565,0.780007,0.000095,0.058031,0.000364
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.656739,0.007362,2.659657,0.001820,0.779164,0.000162,0.027940,0.000375
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.781378,0.007045,2.632212,0.001712,0.779502,0.000131,0.033280,0.000351
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,3,0.2720,0.3080,0.2900,15,180.0000,3.845996,0.006978,2.615771,0.001688,0.779924,0.000111,0.039230,0.000336
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,4,0.3080,0.3540,0.3310,15,180.0000,3.863673,0.006848,2.612554,0.001662,0.779743,0.000107,0.047304,0.000326
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,5,0.3540,0.5000,0.4270,15,180.0000,3.867312,0.005174,2.612847,0.001258,0.779498,0.000078,0.061508,0.000278
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.567586,0.003544,2.685017,0.000825,0.777640,0.000076,0.025931,0.000205
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.706156,0.005247,2.652773,0.001244,0.778320,0.000117,0.035743,0.000257
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,3,0.2720,0.3080,0.2900,15,180.0000,3.772563,0.005647,2.636835,0.001337,0.778806,0.000117,0.041700,0.000290
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,4,0.3080,0.3540,0.3310,15,180.0000,3.835524,0.005989,2.620473,0.001445,0.779448,0.000119,0.048659,0.000274
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,5,0.3540,0.5000,0.4270,15,180.0000,3.923836,0.004813,2.599021,0.001184,0.779921,0.000088,0.061452,0.000237
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,1,0.1600,0.2360,0.1980,15,180.0000,3.619851,0.002369,2.674791,0.000592,0.285284,0.000160,0.019484,0.000143
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,2,0.2360,0.2720,0.2540,15,180.0000,3.789823,0.002824,2.631180,0.000739,0.291731,0.000201,0.025604,0.000170
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,3,0.2720,0.3100,0.2910,15,180.0000,3.889922,0.003890,2.606038,0.001004,0.294786,0.000225,0.029303,0.000214
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,4,0.3100,0.3580,0.3340,15,180.0000,3.952445,0.004893,2.589998,0.001252,0.296804,0.000251,0.033757,0.000260
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,5,0.3580,0.5000,0.4290,15,180.0000,4.055396,0.005609,2.564439,0.001420,0.299602,0.000284,0.038911,0.000354
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,1,0.1600,0.2360,0.1980,15,180.0000,3.611600,0.005157,2.673526,0.001356,0.287583,0.000363,0.024795,0.000284
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,2,0.2360,0.2720,0.2540,15,180.0000,3.754156,0.004366,2.638581,0.001157,0.291738,0.000294,0.029515,0.000260
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,3,0.2720,0.3100,0.2910,15,180.0000,3.823746,0.004606,2.621694,0.001186,0.293409,0.000256,0.036179,0.000252
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,4,0.3100,0.3580,0.3340,15,180.0000,3.860383,0.004362,2.612516,0.001117,0.294465,0.000226,0.044140,0.000231
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,5,0.3580,0.5000,0.4290,15,180.0000,3.899619,0.004578,2.605857,0.001182,0.293139,0.000229,0.053792,0.000250
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.567575,0.003538,2.685010,0.000824,0.777644,0.000075,0.025956,0.000205
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.706087,0.005232,2.652821,0.001240,0.778308,0.000116,0.035749,0.000257
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,3,0.2720,0.3100,0.2910,15,180.0000,3.772300,0.005522,2.636928,0.001305,0.778797,0.000114,0.041949,0.000282
