(current_cut)_Total_COIN_Triggers,(current_cut)_Total_HMS_EL-REAL_Triggers,(current_cut)_Total_SHMS_3/4_Triggers,Accepted_COIN_Triggers,Accepted_HMS_Triggers,Accepted_SHMS_Triggers,BCM1_Beam_Cut_Charge,BCM1_Beam_Cut_Current,BCM1_Charge,BCM1_Current,BCM_Cut_HMS_Run_Length,BCM_Cut_SHMS_Run_Length,Beam_Energy,COIN_CPULT,COIN_CPULT_ERROR,COIN_Trigger_Rate,EDTM_Accepted_Triggers,HMS_Angle,HMS_CPULT,HMS_CPULT_ERROR,HMS_Cal_ALL_Elec_Eff,HMS_Cal_ALL_Elec_Eff_ERROR,HMS_Cal_COIN_Elec_Eff,HMS_Cal_COIN_Elec_Eff_ERROR,HMS_Cal_SING_Elec_Eff,HMS_Cal_SING_Elec_Eff_ERROR,HMS_Cer_ALL_Elec_Eff,HMS_Cer_ALL_Elec_Eff_ERROR,HMS_Cer_COIN_Elec_Eff,HMS_Cer_COIN_Elec_Eff_ERROR,HMS_Cer_SING_Elec_Eff,HMS_Cer_SING_Elec_Eff_ERROR,HMS_EL-REAL_Trigger_Rate,HMS_Elec_ALL_TRACK_EFF,HMS_Elec_ALL_TRACK_EFF_ERROR,HMS_Elec_COIN_TRACK_EFF,HMS_Elec_COIN_TRACK_EFF_ERROR,HMS_Elec_SING_TRACK_EFF,HMS_Elec_SING_TRACK_EFF_ERROR,HMS_Hodo_3_of_4_EFF,HMS_Hodo_4_of_4_EFF,HMS_Hodo_Plane_1,HMS_Hodo_Plane_2,HMS_Hodo_Plane_3,HMS_Hodo_Plane_4,HMS_Hodo_S1XY,HMS_Hodo_S2XY,HMS_Hodoscope_S1X_Rate,HMS_Hodoscope_S1X_Triggers,HMS_P_Central,HMS_Particle_Mass,HMS_Run_Length,Non_Scaler_EDTM_Live_Time,Non_Scaler_EDTM_Live_Time_Corr,Non_Scaler_EDTM_Live_Time_Corr_ERROR,Non_Scaler_EDTM_Live_Time_ERROR,Pre-Scaled_COIN_Triggers,Pre-Scaled_HMS_EL-REAL_Triggers,Pre-Scaled_SHMS_3/4_Triggers,Ps1_factor,Ps2_factor,Ps3_factor,Ps4_factor,Ps5_factor,Ps6_factor,Run_Number,SHMS_3/4_Trigger_Rate,SHMS_Aero_ALL_Prot_Eff,SHMS_Aero_ALL_Prot_Eff_ERROR,SHMS_Aero_COIN_Prot_Eff,SHMS_Aero_COIN_Prot_Eff_ERROR,SHMS_Aero_SING_Prot_Eff,SHMS_Aero_SING_Prot_Eff_ERROR,SHMS_Angle,SHMS_CPULT,SHMS_CPULT_ERROR,SHMS_HGC_ALL_Prot_Eff,SHMS_HGC_ALL_Prot_Eff_ERROR,SHMS_HGC_COIN_Prot_Eff,SHMS_HGC_COIN_Prot_Eff_ERROR,SHMS_HGC_SING_Prot_Eff,SHMS_HGC_SING_Prot_Eff_ERROR,SHMS_Hadron_ALL_TRACK_EFF,SHMS_Hadron_ALL_TRACK_EFF_ERROR,SHMS_Hodo_3_of_4_EFF,SHMS_Hodo_4_of_4_EFF,SHMS_Hodo_Plane_1,SHMS_Hodo_Plane_2,SHMS_Hodo_Plane_3,SHMS_Hodo_Plane_4,SHMS_Hodo_S1XY,SHMS_Hodo_S2XY,SHMS_Hodoscope_S1X_Rate,SHMS_Hodoscope_S1X_Triggers,SHMS_P_Central,SHMS_Particle_Mass,SHMS_Prot_ALL_TRACK_EFF,SHMS_Prot_ALL_TRACK_EFF_ERROR,SHMS_Prot_COIN_TRACK_EFF,SHMS_Prot_COIN_TRACK_EFF_ERROR,SHMS_Prot_SING_TRACK_EFF,SHMS_Prot_SING_TRACK_EFF_ERROR,SHMS_Run_Length,Target_Mass_(amu),Total_COIN_Triggers,Total_HMS_EL-REAL_Triggers,Total_SHMS_3/4_Triggers
9800.0,60067.0,2556624.0,9780.0,59896.0,1277235.0,33.225,43.798,33.225,43.798,758.613,758.613,9.172705,0.998,0.0005,0.013000000000000001,7543.0,23.75,0.9972,0.0003,0.9861,0.0008,0.995,0.0016,0.9856,0.0009,0.9979,0.0003,0.998,0.001,0.9978,0.0004,0.079,0.9971,0.0005,0.9972,0.0013,0.9971,0.0005,0.997555,0.762703,0.9981540000000001,0.99725,0.994006,0.770842,0.9999950000000001,0.998626,53.903,40891813.0,5.015,0.0005110000000000001,758.613,0.9978,0.9978,0.0005,0.0005,9800.0,60067.0,1278312.0,2.0,1.0,1.0,1.0,1.0,1.0,11829.0,3.37,0.2854,0.0034,0.4287,0.0117,0.26899999999999996,0.0035,23.79,0.4996,0.0003,0.8903,0.0042,0.9885,0.0038,0.8745,0.0048,0.7762,0.0014,0.918618,0.509853,0.9813049999999999,0.97519,0.816462,0.6525529999999999,0.9995360000000001,0.9362299999999999,133.58,101335529.0,5.015,0.9382719999999999,0.9896,0.0016,0.9947,0.0026,0.9884,0.0019,758.613,1.007276,9800.0,60067.0,2556624.0
15623.0,91128.0,3877304.0,15640.0,91208.0,1945631.0,50.33,40.797,50.33,40.797,1233.667,1233.667,9.172705,1.0011,0.0,0.013,12306.0,23.75,1.0009,0.0003,0.9856,0.0007,0.9956,0.0012,0.9849,0.0008,0.9973,0.0003,0.998,0.0008,0.9972,0.0003,0.07400000000000001,0.9974,0.0003,0.9985,0.0008,0.9973,0.0004,0.998059,0.764914,0.999081,0.997725,0.994748,0.771416,0.999998,0.998799,50.301,62054136.0,5.015,0.0005110000000000001,1233.667,1.001,1.001,0.0,0.0,15623.0,91128.0,1938652.0,2.0,1.0,1.0,1.0,1.0,1.0,11830.0,3.143,0.2858,0.0028,0.416,0.0093,0.2705,0.0029,23.79,0.5018,0.0003,0.8852,0.0034,0.9966,0.0017,0.8676,0.0039,0.7767,0.0012,0.918123,0.508156,0.981996,0.975673,0.8146399999999999,0.651054,0.999562,0.935319,124.036,153019004.0,5.015,0.938272,0.9889,0.0014,0.9964,0.0018,0.9872,0.0016,1233.667,1.007276,15623.0,91128.0,3877304.0
17631.0,62269.0,2256104.0,17625.0,62168.0,1133186.0,29.493000000000002,18.762,29.493000000000002,18.762,1571.993,1571.993,9.172705,0.9997,0.0001,0.011000000000000001,15663.0,23.75,0.9984,0.0003,0.9873,0.0009,0.9953,0.0016,0.9866,0.0009,0.9984,0.0003,0.9982,0.001,0.9985,0.0003,0.04,0.9976,0.0004,0.9981,0.0011,0.9976,0.0005,0.997714,0.764529,0.9987010000000001,0.997818,0.9935069999999999,0.772211,0.9999969999999999,0.9985209999999999,23.563000000000002,37040891.0,5.015,0.0005110000000000001,1571.993,0.9998,0.9998,0.0001,0.0001,17631.0,62269.0,1128052.0,2.0,1.0,1.0,1.0,1.0,1.0,11831.0,1.435,0.2807,0.0036,0.4427,0.0126,0.2625,0.0037,23.79,0.5023,0.0003,0.8852,0.0046,0.9928,0.0032,0.8674,0.0052,0.7736,0.0015,0.9197489999999999,0.512254,0.9822879999999999,0.97511,0.8177479999999999,0.653994,0.999559,0.93694,57.577,90510730.0,5.015,0.9382719999999999,0.9881,0.0019,0.997,0.0021,0.9859,0.0023,1571.993,1.007276,17631.0,62269.0,2256104.0
21044.0,73309.0,2480646.0,21049.0,73336.0,1250809.0,34.267,18.28,34.267,18.28,1874.589,1874.589,9.172705,1.0002,0.0,0.011,18686.0,23.75,1.0004,0.0003,0.9869,0.0008,0.9948,0.0016,0.9863,0.0009,0.9986,0.0003,0.9995,0.0005,0.9985,0.0003,0.039,0.9976,0.0004,0.9979,0.0011,0.9975,0.0004,0.998596,0.781379,0.999725,0.999183,0.994528,0.786536,1.0,0.998832,22.897,42922083.0,5.015,0.0005110000000000001,1874.589,1.0003,1.0003,0.0,0.0,21044.0,73309.0,1240323.0,2.0,1.0,1.0,1.0,1.0,1.0,11833.0,1.3230000000000002,0.2844,0.0033,0.4452,0.0112,0.2652,0.0035,23.79,0.5042,0.0003,0.8873,0.0041,0.9954,0.0023,0.8683,0.0048,0.7763,0.0014,0.921058,0.512201,0.984793,0.978601,0.816292,0.651094,0.999675,0.935903,56.615,106129264.0,5.015,0.938272,0.9912,0.0014,0.994,0.0027,0.9905,0.0017,1874.589,1.007276,21044.0,73309.0,2480646.0
5596.0,17382.0,562561.0,5597.0,17389.0,284056.0,7.76,15.264000000000001,7.76,15.264000000000001,508.38199999999995,508.38199999999995,9.172705,1.0002,0.0,0.011000000000000001,5068.0,23.75,1.0004,0.0007,0.9864,0.0017,0.9979,0.0021,0.9851,0.0019,0.9984,0.0006,1.0,0.0,0.9983,0.0007,0.034,0.9973,0.0009,1.0,0.0,0.9969,0.001,0.9987739999999999,0.765733,0.999517,0.999518,0.99565,0.76982,1.0,0.998999,19.29,9806843.0,5.015,0.0005110000000000001,508.38199999999995,1.0002,1.0002,0.0,0.0,5596.0,17382.0,281280.0,2.0,1.0,1.0,1.0,1.0,1.0,11834.0,1.107,0.2857,0.006999999999999999,0.3814,0.0229,0.2742,0.0073,23.79,0.5049,0.0007,0.8762,0.0089,0.9942,0.0058,0.8591,0.0101,0.7772,0.0029,0.923572,0.517578,0.9855879999999999,0.978776,0.8206950000000001,0.653756,0.9996940000000001,0.937917,47.401,24097609.0,5.015,0.9382719999999999,0.9947,0.0024,1.0,0.0,0.9935,0.0029,508.38199999999995,1.007276,5596.0,17382.0,562561.0
2106.0,7586.0,260639.0,2108.0,7591.0,131405.0,3.607,19.445,3.607,19.445,185.479,185.479,9.172705,1.0009,0.0,0.011,1849.0,23.75,1.0007,0.001,0.9898,0.0022,1.0,0.0,0.9892,0.0024,0.9986,0.0008,1.0,0.0,0.999,0.0007,0.041,0.9982,0.0011,0.995,0.005,0.9986,0.001,0.998443,0.7759999999999999,0.999481,1.0,0.993398,0.781563,1.0,0.998558,24.224,4493057.0,5.015,0.0005110000000000001,185.479,1.0005,1.0005,0.0,0.0,2106.0,7586.0,130320.0,2.0,1.0,1.0,1.0,1.0,1.0,11835.0,1.405,0.2984,0.0105,0.4516,0.0338,0.2786,0.0109,23.79,0.5042,0.001,0.8681,0.0133,0.98,0.014,0.8478,0.0153,0.7795,0.0042,0.919708,0.50767,0.983589,0.978888,0.816743,0.645579,0.999654,0.93505,60.208,11167376.0,5.015,0.938272,0.991,0.0045,1.0,0.0,0.9884,0.0058,185.479,1.007276,2106.0,7586.0,260639.0
3089.0,8090.0,246919.0,3089.0,8089.0,124969.0,9.544,31.253,9.544,31.253,305.377,305.377,9.172705,1.0,0.0,0.01,3043.0,23.75,0.9999,0.001,0.9369,0.0053,0.9714,0.0282,0.9363,0.0054,0.9985,0.0009,1.0,0.0,0.9984,0.0009,0.026000000000000002,0.9968,0.0014,1.0,0.0,0.9967,0.0015,0.998091,0.7652909999999999,0.999434,0.9994280000000001,0.992798,0.771721,1.0,0.9983559999999999,14.84,4531866.0,5.015,0.0005110000000000001,305.377,1.0,1.0,0.0,0.0,3089.0,8090.0,123460.0,2.0,1.0,1.0,1.0,1.0,1.0,11836.0,0.809,0.3379,0.009000000000000001,0.5667,0.0905,0.3354,0.009000000000000001,23.79,0.5061,0.001,0.9394,0.0076,1.0,0.0,0.9383,0.0077,0.8244,0.0039,0.957153,0.624542,0.987296,0.9785530000000001,0.8804799999999999,0.734194,0.9997280000000001,0.968231,38.031,11613866.0,5.015,0.9382719999999999,0.9912,0.0028,1.0,0.0,0.9911,0.0028,305.377,1.007276,3089.0,8090.0,246919.0
5594.0,16824.0,546317.0,5594.0,16826.0,275969.0,21.172,38.253,21.172,38.253,553.479,553.479,9.172705,1.0,0.0,0.01,5517.0,23.75,1.0001,0.0007,0.9348,0.0036,1.0,0.0,0.934,0.0037,0.9982,0.0007,1.0,0.0,0.9981,0.0007,0.03,0.9976,0.0008,1.0,0.0,0.9976,0.0008,0.99789,0.7630170000000001,0.999743,0.997215,0.993913,0.770031,0.999999,0.9986,18.095,10015309.0,5.015,0.0005110000000000001,553.479,1.0002,1.0002,0.0,0.0,5594.0,16824.0,273158.0,2.0,1.0,1.0,1.0,1.0,1.0,11838.0,0.987,0.3352,0.0059,0.3333,0.066,0.3352,0.006,23.79,0.5051,0.0007,0.9441,0.0049,1.0,0.0,0.9436,0.0049,0.8254,0.0026,0.957147,0.624414,0.987827,0.978074,0.880494,0.733996,0.999733,0.968211,46.445,25706476.0,5.015,0.938272,0.9924,0.0017,0.913,0.0588,0.9932,0.0017,553.479,1.007276,5594.0,16824.0,546317.0
3738.0,18213.0,696986.0,3724.0,18148.0,348773.0,6.756,29.441,6.756,29.441,229.483,310.88599999999997,9.172705,0.9963,0.001,0.012,3084.0,23.75,0.9964,0.0006,0.9866,0.0015,0.9929,0.0036,0.9863,0.0016,0.9987,0.0005,1.0,0.0,0.9986,0.0005,0.059000000000000004,0.9985,0.0006,0.996,0.0028,0.9989,0.0006,0.998091,0.770162,1.0,0.9984139999999999,0.9930610000000001,0.776775,1.0,0.998451,36.315,8333673.0,5.015,0.0005110000000000001,229.483,0.9955,0.9955,0.0012,0.0012,3738.0,18213.0,348493.0,2.0,1.0,1.0,1.0,1.0,1.0,11839.0,2.242,0.2874,0.0065,0.44299999999999995,0.0217,0.2687,0.0067,23.79,0.5004,0.0006,0.883,0.0081,0.9915,0.006,0.8640000000000001,0.0093,0.7767,0.0027,0.920005,0.5100279999999999,0.985485,0.974922,0.817922,0.649026,0.9996360000000001,0.9360950000000001,94.088,29250514.0,5.015,0.9382719999999999,0.9913,0.0027,0.9956,0.0044,0.9903,0.0032,310.88599999999997,1.007276,3738.0,18213.0,696986.0
8419.0,32639.0,1201762.0,8425.0,32662.0,605045.0,15.941,21.637,15.941,21.637,736.72,736.72,9.172705,1.0007,0.0,0.011,7344.0,23.75,1.0007,0.0005,0.9867,0.0012,0.9979,0.0015,0.9855,0.0013,0.9978,0.0005,0.9968,0.0018,0.9979,0.0005,0.044,0.9981,0.0005,1.0,0.0,0.9979,0.0006,0.998567,0.778895,0.999274,0.998237,0.995882,0.784067,0.999999,0.999111,27.105,19968697.0,5.015,0.0005110000000000001,736.72,1.0004,1.0004,0.0,0.0,8419.0,32639.0,600881.0,2.0,1.0,1.0,1.0,1.0,1.0,11840.0,1.631,0.2732,0.0048,0.4203,0.0167,0.2561,0.005,23.79,0.5035,0.0005,0.8824,0.0063,0.9919,0.0046,0.8642,0.0072,0.7789,0.002,0.921004,0.5134029999999999,0.983498,0.978181,0.816764,0.653384,0.99964,0.936488,66.608,49071390.0,5.015,0.938272,0.9854,0.0027,0.9888,0.0056,0.9847,0.0031,736.72,1.007276,8419.0,32639.0,1201762.0
