(current_cut)_Total_COIN_Triggers,(current_cut)_Total_HMS_EL-REAL_Triggers,(current_cut)_Total_SHMS_3/4_Triggers,Accepted_COIN_Triggers,Accepted_HMS_Triggers,Accepted_SHMS_Triggers,BCM2_Beam_Cut_Charge,BCM2_Beam_Cut_Current,BCM2_Charge,BCM2_Current,BCM_Cut_HMS_Run_Length,BCM_Cut_SHMS_Run_Length,Beam_Energy,COIN_CPULT,COIN_CPULT_ERROR,COIN_Trigger_Rate,EDTM_Accepted_Triggers,HMS_Angle,HMS_CPULT,HMS_CPULT_ERROR,HMS_Cal_ALL_Elec_Eff,HMS_Cal_ALL_Elec_Eff_ERROR,HMS_Cal_COIN_Elec_Eff,HMS_Cal_COIN_Elec_Eff_ERROR,HMS_Cal_SING_Elec_Eff,HMS_Cal_SING_Elec_Eff_ERROR,HMS_Cer_ALL_Elec_Eff,HMS_Cer_ALL_Elec_Eff_ERROR,HMS_Cer_COIN_Elec_Eff,HMS_Cer_COIN_Elec_Eff_ERROR,HMS_Cer_SING_Elec_Eff,HMS_Cer_SING_Elec_Eff_ERROR,HMS_EL-REAL_Trigger_Rate,HMS_Elec_ALL_TRACK_EFF,HMS_Elec_ALL_TRACK_EFF_ERROR,HMS_Elec_COIN_TRACK_EFF,HMS_Elec_COIN_TRACK_EFF_ERROR,HMS_Elec_SING_TRACK_EFF,HMS_Elec_SING_TRACK_EFF_ERROR,HMS_Hodo_3_of_4_EFF,HMS_Hodo_4_of_4_EFF,HMS_Hodo_Plane_1,HMS_Hodo_Plane_2,HMS_Hodo_Plane_3,HMS_Hodo_Plane_4,HMS_Hodo_S1XY,HMS_Hodo_S2XY,HMS_Hodoscope_S1X_Rate,HMS_Hodoscope_S1X_Triggers,HMS_P_Central,HMS_Particle_Mass,HMS_Run_Length,Non_Scaler_EDTM_Live_Time,Non_Scaler_EDTM_Live_Time_Corr,Non_Scaler_EDTM_Live_Time_Corr_ERROR,Non_Scaler_EDTM_Live_Time_ERROR,Pre-Scaled_COIN_Triggers,Pre-Scaled_HMS_EL-REAL_Triggers,Pre-Scaled_SHMS_3/4_Triggers,Ps1_factor,Ps2_factor,Ps3_factor,Ps4_factor,Ps5_factor,Ps6_factor,Run_Number,SHMS_3/4_Trigger_Rate,SHMS_Aero_ALL_Prot_Eff,SHMS_Aero_ALL_Prot_Eff_ERROR,SHMS_Aero_COIN_Prot_Eff,SHMS_Aero_COIN_Prot_Eff_ERROR,SHMS_Aero_SING_Prot_Eff,SHMS_Aero_SING_Prot_Eff_ERROR,SHMS_Angle,SHMS_CPULT,SHMS_CPULT_ERROR,SHMS_HGC_ALL_Prot_Eff,SHMS_HGC_ALL_Prot_Eff_ERROR,SHMS_HGC_COIN_Prot_Eff,SHMS_HGC_COIN_Prot_Eff_ERROR,SHMS_HGC_SING_Prot_Eff,SHMS_HGC_SING_Prot_Eff_ERROR,SHMS_Hadron_ALL_TRACK_EFF,SHMS_Hadron_ALL_TRACK_EFF_ERROR,SHMS_Hodo_3_of_4_EFF,SHMS_Hodo_4_of_4_EFF,SHMS_Hodo_Plane_1,SHMS_Hodo_Plane_2,SHMS_Hodo_Plane_3,SHMS_Hodo_Plane_4,SHMS_Hodo_S1XY,SHMS_Hodo_S2XY,SHMS_Hodoscope_S1X_Rate,SHMS_Hodoscope_S1X_Triggers,SHMS_P_Central,SHMS_Particle_Mass,SHMS_Prot_ALL_TRACK_EFF,SHMS_Prot_ALL_TRACK_EFF_ERROR,SHMS_Prot_COIN_TRACK_EFF,SHMS_Prot_COIN_TRACK_EFF_ERROR,SHMS_Prot_SING_TRACK_EFF,SHMS_Prot_SING_TRACK_EFF_ERROR,SHMS_Run_Length,Target_Mass_(amu),Total_COIN_Triggers,Total_HMS_EL-REAL_Triggers,Total_SHMS_3/4_Triggers
8541.0,58774.0,2554428.0,9780.0,59896.0,1277235.0,33.244,52.42100000000001,33.256,43.839,634.184,632.183,9.171305,0.998,0.0005,0.014,7543.0,23.75,0.9972,0.0003,0.9858,0.0009,0.9949,0.0016,0.9853,0.0009,0.9979,0.0003,0.998,0.001,0.9979,0.0004,0.093,0.9971,0.0005,0.9972,0.0013,0.9971,0.0005,0.997556,0.7627470000000001,0.998154,0.99725,0.994006,0.770886,0.999995,0.998627,64.288,40770461.0,5.015,0.0005110000000000001,634.184,0.9973,0.9973,0.0005,0.0005,9800.0,60067.0,1278312.0,2.0,1.0,1.0,1.0,1.0,1.0,11829.0,4.041,0.2849,0.0034,0.4287,0.0117,0.2681,0.0036,23.79,0.4996,0.0003,0.8887,0.0042,0.9885,0.0038,0.8722,0.0048,0.7762,0.0014,0.918618,0.509853,0.981305,0.97519,0.816462,0.6525529999999999,0.999536,0.93623,160.171,101257117.0,5.015,0.938272,0.9896,0.0016,0.9947,0.0026,0.9884,0.0019,632.183,1.007276,8541.0,58774.0,2554428.0
12483.0,87933.0,3872408.0,15640.0,91208.0,1945631.0,50.383,54.492,50.411,40.863,924.5880000000001,918.535,9.171305,1.0011,0.0,0.013999999999999999,12306.0,23.75,1.0009,0.0003,0.9858,0.0007,0.9955,0.0012,0.9851,0.0008,0.9973,0.0003,0.9979,0.0008,0.9973,0.0003,0.096,0.9974,0.0003,0.9985,0.0008,0.9973,0.0004,0.998059,0.764914,0.999081,0.997725,0.994748,0.771416,0.9999979999999999,0.998799,66.723,61691447.0,5.015,0.0005110000000000001,924.5880000000001,1.0013,1.0013,0.0,0.0,15623.0,91128.0,1938652.0,2.0,1.0,1.0,1.0,1.0,1.0,11830.0,4.216,0.2863,0.0028,0.4161,0.0093,0.2708,0.0029,23.79,0.5018,0.0003,0.8847,0.0035,0.9966,0.0017,0.8669,0.004,0.7767,0.0012,0.9181229999999999,0.508156,0.9819959999999999,0.9756729999999999,0.8146399999999999,0.651054,0.9995620000000001,0.935319,166.391,152836068.0,5.015,0.9382719999999999,0.9889,0.0014,0.9964,0.0018,0.9872,0.0016,918.535,1.007276,12483.0,87933.0,3872408.0
8810.0,53344.0,2244182.0,17625.0,62168.0,1133186.0,29.609,42.03,29.674,18.877,704.4730000000003,686.3610000000001,9.171305,0.9997,0.0001,0.013,15663.0,23.75,0.9984,0.0003,0.9873,0.0009,0.9959,0.0015,0.9864,0.001,0.9984,0.0003,0.9982,0.001,0.9985,0.0003,0.078,0.9976,0.0004,0.9981,0.0011,0.9976,0.0005,0.997714,0.76448,0.998701,0.997818,0.993508,0.772162,0.999997,0.998521,51.63399999999999,36374475.0,5.015,0.0005110000000000001,704.4730000000003,0.9996,0.9996,0.0001,0.0001,17631.0,62269.0,1128052.0,2.0,1.0,1.0,1.0,1.0,1.0,11831.0,3.27,0.2813,0.0037,0.4424,0.0126,0.2628,0.0038,23.79,0.5023,0.0003,0.8836,0.0046,0.9928,0.0032,0.8653,0.0053,0.7736,0.0015,0.919749,0.512254,0.982288,0.97511,0.8177479999999999,0.653994,0.999559,0.93694,131.296,90116563.0,5.015,0.938272,0.9881,0.0019,0.997,0.0021,0.9859,0.0023,686.3610000000001,1.007276,8810.0,53344.0,2244182.0
20086.0,72326.0,2478925.0,21049.0,73336.0,1250809.0,34.529,19.352,34.536,18.423,1784.276,1778.269,9.171305,1.0002,0.0,0.011000000000000001,18686.0,23.75,1.0004,0.0003,0.9866,0.0008,0.9947,0.0016,0.9858,0.0009,0.9986,0.0003,0.9995,0.0005,0.9985,0.0003,0.040999999999999995,0.9976,0.0004,0.9979,0.0011,0.9975,0.0004,0.9985959999999999,0.781379,0.999725,0.999183,0.9945280000000001,0.786536,1.0,0.9988319999999999,24.035999999999998,42887645.0,5.015,0.0005110000000000001,1784.276,1.0003,1.0003,0.0,0.0,21044.0,73309.0,1240323.0,2.0,1.0,1.0,1.0,1.0,1.0,11833.0,1.3940000000000001,0.2849,0.0034,0.4454,0.0112,0.2652,0.0035,23.79,0.5042,0.0003,0.8859999999999999,0.0042,0.9954,0.0023,0.8664,0.0049,0.7763,0.0014,0.921058,0.512201,0.984793,0.978601,0.816292,0.651094,0.999675,0.935903,59.651,106076247.0,5.015,0.9382719999999999,0.9912,0.0014,0.9940000000000001,0.0027,0.9905,0.0017,1778.269,1.007276,20086.0,72326.0,2478925.0
4490.0,16269.0,561273.0,5597.0,17389.0,284056.0,7.826,19.693,7.834,15.409,397.388,397.388,9.171305,1.0002,0.0,0.011,5068.0,23.75,1.0004,0.0007,0.9863,0.0018,0.9979,0.0021,0.9849,0.002,0.9984,0.0006,1.0,0.0,0.9982,0.0007,0.041,0.9973,0.0009,1.0,0.0,0.9969,0.001,0.998774,0.765733,0.999517,0.999518,0.99565,0.76982,1.0,0.998999,24.50800000000001,9739371.0,5.015,0.0005110000000000001,397.388,1.0003,1.0003,0.0,0.0,5596.0,17382.0,281280.0,2.0,1.0,1.0,1.0,1.0,1.0,11834.0,1.412,0.2847,0.006999999999999999,0.3814,0.0229,0.2729,0.0074,23.79,0.5049,0.0007,0.8742,0.0091,0.9942,0.0058,0.8564,0.0103,0.7772,0.0029,0.923572,0.517578,0.985588,0.978776,0.8206950000000001,0.653756,0.999694,0.937917,60.551,24062215.0,5.015,0.938272,0.9947,0.0024,1.0,0.0,0.9935,0.0029,397.388,1.007276,4490.0,16269.0,561273.0
2106.0,7586.0,260639.0,2108.0,7591.0,131405.0,3.6319999999999997,19.583,3.6319999999999997,19.583,185.479,185.479,9.171305,1.0009,0.0,0.011000000000000001,1849.0,23.75,1.0007,0.001,0.9893,0.0023,1.0,0.0,0.9885,0.0025,0.9990000000000001,0.0007,1.0,0.0,0.9989,0.0008,0.040999999999999995,0.9982,0.0011,0.995,0.005,0.9986,0.001,0.9984430000000001,0.7759999999999999,0.999481,1.0,0.993398,0.781563,1.0,0.998558,24.224,4493057.0,5.015,0.0005110000000000001,185.479,1.0005,1.0005,0.0,0.0,2106.0,7586.0,130320.0,2.0,1.0,1.0,1.0,1.0,1.0,11835.0,1.405,0.2995,0.0106,0.4516,0.0338,0.2795,0.011000000000000001,23.79,0.5042,0.001,0.8669,0.0134,0.98,0.013999999999999999,0.8462,0.0154,0.7795,0.0042,0.919708,0.50767,0.9835889999999999,0.9788879999999999,0.816743,0.645579,0.999654,0.93505,60.208,11167376.0,5.015,0.9382719999999999,0.991,0.0045,1.0,0.0,0.9884,0.0058,185.479,1.007276,2106.0,7586.0,260639.0
2469.0,7463.0,246091.0,3089.0,8089.0,124969.0,9.568,39.349,9.577,31.36,243.162,243.162,9.171305,1.0,0.0,0.01,3043.0,23.75,0.9999,0.001,0.9357,0.0055,0.9714,0.0282,0.9351,0.0055,0.9989,0.0008,1.0,0.0,0.9989,0.0008,0.031,0.9968,0.0014,1.0,0.0,0.9967,0.0015,0.998091,0.7652909999999999,0.999434,0.999428,0.992798,0.771721,1.0,0.998356,18.476,4492768.0,5.015,0.0005110000000000001,243.162,1.0,1.0,0.0,0.0,3089.0,8090.0,123460.0,2.0,1.0,1.0,1.0,1.0,1.0,11836.0,1.012,0.3393,0.0091,0.5667,0.0905,0.3367,0.0092,23.79,0.5061,0.001,0.9402,0.0076,1.0,0.0,0.9391,0.0077,0.8244,0.0039,0.957153,0.624542,0.987296,0.978553,0.8804799999999999,0.734194,0.999728,0.968231,47.664,11590005.0,5.015,0.938272,0.9912,0.0028,1.0,0.0,0.9911,0.0028,243.162,1.007276,2469.0,7463.0,246091.0
5594.0,16824.0,546317.0,5594.0,16826.0,275969.0,21.226,38.35,21.226,38.35,553.479,553.479,9.171305,1.0,0.0,0.01,5517.0,23.75,1.0001,0.0007,0.9346,0.0037,1.0,0.0,0.9338,0.0038,0.9981,0.0007,1.0,0.0,0.998,0.0007,0.03,0.9976,0.0008,1.0,0.0,0.9976,0.0008,0.9978899999999999,0.7630170000000001,0.999743,0.997215,0.9939129999999999,0.770031,0.999999,0.9986,18.095,10015309.0,5.015,0.0005110000000000001,553.479,1.0002,1.0002,0.0,0.0,5594.0,16824.0,273158.0,2.0,1.0,1.0,1.0,1.0,1.0,11838.0,0.987,0.3331,0.006,0.34,0.067,0.3331,0.006,23.79,0.5051,0.0007,0.9427,0.005,1.0,0.0,0.9423,0.005,0.8254,0.0026,0.957147,0.624414,0.987827,0.978074,0.880494,0.733996,0.999733,0.968211,46.445,25706476.0,5.015,0.9382719999999999,0.9924,0.0017,0.9129999999999999,0.0588,0.9932,0.0017,553.479,1.007276,5594.0,16824.0,546317.0
3738.0,18213.0,696986.0,3724.0,18148.0,348773.0,6.783,29.558000000000003,6.783,29.558000000000003,229.483,310.886,9.171305,0.9963,0.001,0.012,3084.0,23.75,0.9964,0.0006,0.9868,0.0016,0.9928,0.0036,0.9865,0.0017,0.9986,0.0005,1.0,0.0,0.9985,0.0006,0.059,0.9985,0.0006,0.996,0.0028,0.9989,0.0006,0.998091,0.770162,1.0,0.998414,0.993061,0.776775,1.0,0.998451,36.315,8333673.0,5.015,0.0005110000000000001,229.483,0.9955,0.9955,0.0012,0.0012,3738.0,18213.0,348493.0,2.0,1.0,1.0,1.0,1.0,1.0,11839.0,2.242,0.2845,0.0065,0.4425,0.0217,0.2651,0.0068,23.79,0.5004,0.0006,0.8808,0.0083,0.9914,0.006,0.861,0.0096,0.7767,0.0027,0.920005,0.5100279999999999,0.985485,0.974922,0.817922,0.649026,0.999636,0.936095,94.088,29250514.0,5.015,0.938272,0.9913,0.0027,0.9956,0.0044,0.9903,0.0032,310.886,1.007276,3738.0,18213.0,696986.0
4947.0,29131.0,1196650.0,8425.0,32662.0,605045.0,15.991,40.345,16.021,21.746,396.361,388.29900000000004,9.171305,1.0007,0.0,0.013000000000000001,7344.0,23.75,1.0007,0.0005,0.987,0.0012,0.9979,0.0015,0.9858,0.0013,0.9979,0.0005,0.9968,0.0018,0.9981,0.0005,0.075,0.9981,0.0005,1.0,0.0,0.9979,0.0006,0.998567,0.778895,0.999274,0.998237,0.9958819999999999,0.784067,0.999999,0.9991110000000001,49.733000000000004,19712168.0,5.015,0.0005110000000000001,396.361,1.0008,1.0008,0.0,0.0,8419.0,32639.0,600881.0,2.0,1.0,1.0,1.0,1.0,1.0,11840.0,3.082,0.2728,0.0049,0.4208,0.0167,0.2553,0.0051,23.79,0.5035,0.0005,0.8818,0.0064,0.9919,0.0046,0.8632,0.0073,0.7789,0.002,0.921004,0.5134029999999999,0.983498,0.978181,0.816764,0.653384,0.99964,0.9364879999999999,125.963,48911134.0,5.015,0.9382719999999999,0.9854,0.0027,0.9888,0.0056,0.9847,0.0031,388.29900000000004,1.007276,4947.0,29131.0,1196650.0
