COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,c_int_Track_events,c_int_noTrack_events
13898,2183547,1,0.996549059129258,0.015211097639935,3918,153066135,513,0.990392723761708,0.001043220742107,0.9945,0.0002,1025,,,513,1,,,218949826,1025,0.990392723761708,0.001043220742107,0.9942,0.0009,12509,105882.371646192,0.999584094146407,1905660.64829506,1881618.81281115,1563,437.5874570219,611.012672880576,1130,16220,13297,13297,1334.45752,2680359,2019243.63193788,13547552.6744765
1698,199706,1,0.932811954830836,0.04964739585734,641,14630315,513,0.990332017419807,0.001967633905328,0.9938,0.0008,1025,,513,,,1,,17521768,1025,0.990332017419807,0.001967633905328,0.9913,0.0043,938,8481.07476459061,0.9995873559334,142099.754746812,140079.156072572,112,34.9047375343348,46.1049470595825,66,16222,1057,1057,106.05046,228838,256.644867563705,2112.50456252201
20581,2220874,1,0.994966598864603,0.015729634216149,7553,163714396,513,0.990385137687806,0.00107281076399,0.9929,0.0002,1025,,513,,,1,,196083921,1025,0.990385137687806,0.00107281076399,0.9958,0.0008,11153,94884.5724347968,0.999584239073511,1691949.04810044,1669821.46258996,1293,470.741592040078,643.58566451303,773,16223,11911,11911,1195.433265,2720795,5489.30300033546,29391.8495410122
10169,1570212,1,0.995922765361966,0.017949093811473,3368,109959850,513,0.990372181575008,0.001134338310955,0.9939,0.0002,1025,,,513,1,,,157302748,1025,0.990372181575008,0.001134338310955,0.994,0.0011,8979,76140.8731666594,0.999584923002855,1390098.63958375,1372063.97319629,1445,290.807414346521,405.345362158948,1037,16224,9545,9545,957.706818,1930123,1462871.98576354,9748600.76100346
8378,1497223,1,0.996054597273079,0.018209249934666,2544,105707655,513,0.990478788953606,0.001139646199841,0.9943,0.0002,1025,,,513,1,,,150974761,1025,0.990478788953606,0.001139646199841,0.9921,0.0013,8707,73029.7806439712,0.999580387888519,1330853.63058282,1313839.8151376,947,307.001333242375,412.921952662425,682,16225,9254,9254,928.611529,1842501,1413880.10073048,9354977.76103736
779,138367,1,0.987655656690291,0.059587091796826,233,9746758,513,0.990474112202639,0.002068749645767,0.9943,0.0007,1025,,,513,1,,,13918145,1025,0.990474112202639,0.002068749645767,0.9954,0.0032,807,6732.68781412355,0.999580509648899,125166.960932339,123570.682126738,88,27.6023244472852,39.1267368803682,63,16226,853,853,85.584775,172753,134045.158096728,881091.617066983
4500,600053,1,0.998175312911173,0.03034994243215,625,57549628,1025,0.993911922348346,0.00106012936773,0.9953,0.0004,1025,,,1025,1,,,82104078,1025,0.993911922348346,0.00106012936773,0.9952,0.0014,7569,38984.2026392578,0.999331267628448,507332.476937483,506296.904697895,577,122.871126927777,167.864216596654,826,16236,7873,7873,789.999948,734804,752342.378735052,5093917.12283957
13547,363935,1,0.997041367802516,0.007036983333538,9465,55161604,257,0.997565245146149,0.000677470666989,0.9968,0.0002,513,,,257,1,,,78399401,513,0.997565245146149,0.000677470666989,0.9949,0.0011,18327,37137.4944102943,0.998337732519298,441535.906017611,443681.18084006,5354,86.1750150303388,132.18330537629,3835,16237,18646,18646,1870.680281,729106,670334.167374617,4839495.58446292
3920,650641,1,0.998076814451742,0.03635194862718,486,52675803,1025,0.992132936772502,0.001232248855992,0.9946,0.0005,1025,,,1025,1,,,75264035,1025,0.992132936772502,0.001232248855992,0.9959,0.0014,5303,35924.6792923447,0.999485527267353,541579.044716966,539039.021959223,339,133.639675260275,211.58993227064,485,16238,5581,5581,560.068725,773970,691681.874699698,4652891.9097349
10673,523461,1,0.997407269277102,0.009992267548517,3064,66962790,513,0.996354823673494,0.000789749607567,0.9965,0.0002,513,,,513,1,,,95294622,513,0.996354823673494,0.000789749607567,0.9964,0.0008,14779,45247.2496087764,0.998890231803454,506280.640953097,507934.659247846,2326,123.135627459898,165.252635122808,3310,16239,15164,15164,1521.635109,836754,856737.6968981,5895241.48930181
