COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,c_int_Track_events,c_int_noTrack_events,c_int_Track_Rand_events,c_int_noTrack_Rand_events,HMS_3-4Trig_scaler,SHMS_3-4Trig_scaler,SHMS3of4ELT,HMS3of4ELT
3426,1289386,1,0.994430030722975,0.057774271713364,386,77051309,1025,0.987664289700108,0.001364307322302,0.9947,0.0004,2049,,,1025,1,,,123794553,2049,0.987664289700108,0.001364307322302,0.9922,0.0045,5458,46964.9298499014,0.999585495731044,1040389.98431312,1024713.5876538,276,156656.418109623,155648.933403014,228,16260,5879,5879,589.914058,1421765,8016212.46064183,8023479.02860937,13632558.5689093,13654387.781665,98656278,123794553,0.997976327896737,0.998051143193144
3766,1314959,1,0.997963025117749,0.057162189853678,491,78824614,1025,0.987711330588917,0.001353973945445,0.9942,0.0004,2049,,,1025,1,,,126642590,2049,0.987711330588917,0.001353973945445,0.9952,0.0034,5590,48037.9653259032,0.999584757308773,1062765.11672056,1047383.50402243,354,159697.930084659,158873.092129714,290,16261,6023,6023,604.467091,1450371,8132210.13302487,8140821.21339951,13879281.0808896,13906212.6255731,100905100,126642590,0.997982577778929,0.998054916006094
6776,1300981,1,0.998483088968872,0.028904737575881,1049,128937937,1025,0.993743915700653,0.00085258658289,0.9958,0.0003,2049,,,1025,1,,,207286343,2049,0.993743915700653,0.00085258658289,0.9968,0.0022,18581,76900.11609602,0.999168093084422,1111684.636885,1103954.40820847,1506,165013.655019685,165516.066260452,1218,16266,19318,19318,1938.598133,1525856,12194656.8456086,12203594.0645035,12530114.3669815,12548230.4333145,164251927,207286343,0.999474852118918,0.999494441625864
12820,413863,1,0.99705761188725,0.006397963414997,6881,60938586,257,0.996860485000485,0.000727755701923,0.9971,0.0002,513,,,257,1,,,97970809,513,0.996860485000485,0.000727755701923,0.9912,0.0026,17843,36175.6035929455,0.998339202411989,507397.01413686,506012.667050934,4988,71107.3801551226,71751.0000359138,4028,16268,18143,18143,1820.616824,842601,5431780.04791076,5434295.44010511,3124959.09773333,3124564.1719425,77436199,97970809,0.999866860347412,0.999871581399356
16251,527136,1,0.997144177091833,0.005666282472078,8732,77698869,257,0.996866029999441,0.000684419789439,0.997,0.0001,513,,,257,1,,,124799730,513,0.996866029999441,0.000684419789439,0.9919,0.0023,22684,46108.4631180202,0.998338150699843,645537.426447221,643813.031351497,6368,89681.5717419683,90464.7885669878,5148,16269,23144,23144,2321.979308,1070065,6873301.95246339,6878074.05511229,3940692.10910186,3947865.04140483,98729438,124799730,0.999867250995188,0.999871535536855
1434,25191,1,0.997459627933585,0.021774031667127,533,4470867,257,0.998132408540375,0.001078444463002,0.9971,0.0006,513,,,257,1,,,7178597,513,0.998132408540375,0.001078444463002,1,,2205,2649.17582503735,0.997242417418294,32735.7958595577,32670.4244114456,662,4533.07201821553,4571.93686466489,533,16270,2206,2206,221.373367,56961,384175.12746308,384568.76907533,139484.553390638,139573.118161182,5678767,7178597,0.999951550071612,0.999952649360761
23092,350536,1,0.997139342132179,0.004299990451538,6171,62416674,257,0.99810480975105,0.000562018906087,0.9973,0.0002,257,,,257,1,,,100225552,257,0.99810480975105,0.000562018906087,0.9962,0.0013,30389,36972.6948184644,0.997240547060718,456118.49858623,455458.867522308,7475,83294.9244386353,84177.8831783682,12031,16271,30816,30816,3091.64883,980101,5404236.05963517,5407100.55101544,1940384.04208985,1942245.12066304,79245499,100225552,0.999951621112574,0.999953059986063
23766,357599,1,0.997150669424332,0.004240252752892,6390,63988157,257,0.998116440285783,0.000556840526791,0.997,0.0002,257,,,257,1,,,102732454,257,0.998116440285783,0.000556840526791,0.9938,0.0015,31282,37896.7881596979,0.997235988922951,465551.652635371,464900.629637295,7707,85677.4454751768,86462.4062794474,12400,16272,31637,31637,3174.155826,1003777,5527588.82825563,5530470.96815208,1984582.37673664,1988861.93869984,81243034,102732454,0.99995178775547,0.999953138815586
3597,874558,1,0.998278342746761,0.052142716019226,666,64942823,1025,0.990687242945515,0.001236133675251,0.9947,0.0004,2049,,,1025,1,,,104326021,2049,0.990687242945515,0.001236133675251,0.9877,0.0061,6159,38880.2567634711,0.999444671114382,728586.133364965,719979.119240905,625,108215.863783942,108123.323004065,501,16273,6521,6521,654.282717,988865,6467517.51490254,6473020.83103922,9070819.29404362,9085320.36685317,82926283,104326021,0.998832397657466,0.998870410643851
3456,1005904,1,0.997876634210634,0.048443634731846,464,74868717,1025,0.990679382139369,0.001193424791638,0.9946,0.0004,2049,,,1025,1,,,120282438,2049,0.990679382139369,0.001193424791638,0.9975,0.0025,7088,44819.3985662447,0.999443239484592,833217.028740886,823517.44359519,442,124169.561445152,123794.289147107,360,16275,7537,7537,756.171862,1130527,7426232.42131969,7432939.34609869,10333713.2773827,10353318.9583694,95587258,120282438,0.998838287701663,0.998869571603911
12414,971139,1,0.99782429628716,0.011090917100595,3735,115313344,513,0.995303235106555,0.000759589942289,0.9966,0.0002,1025,,,513,1,,,185099135,1025,0.995303235106555,0.000759589942289,0.9955,0.002,22284,68580.5287165129,0.998893033719005,938685.111148902,933317.905026119,3619,135631.930234542,136357.684784713,2911,16276,22930,22930,2300.494934,1373940,10598815.4791925,10605446.2056731,8545224.23494707,8554202.57240046,146646825,185099135,0.999702897125246,0.999710841714914
