COINTRIG_cut,COINTRIG_scaler,COIN_PS,COIN_scaler_accp,CPULT_TLT_HMS,CPULT_TLT_SHMS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,ELT2_HMS,ELT_3of4_SHMS,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_DataRate,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_DataRate,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT_HMS,TLT_ELT_SHMS,accp_edtm,avg_yield_HMS_CPULT_notrack,avg_yield_HMS_CPULT_track,avg_yield_HMS_notrack,avg_yield_HMS_scaler,avg_yield_HMS_track,avg_yield_SHMS_CPULT_notrack,avg_yield_SHMS_CPULT_track,avg_yield_SHMS_notrack,avg_yield_SHMS_scaler,avg_yield_SHMS_track,boilingCorr,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rate_COIN,rate_HMS,rate_HMS3-4,rate_SHMS,rate_SHMS3-4,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncer_boilingCorr,uncern_COIN_evts_scaler,uncern_CPULT_phys,uncern_ELT2_HMS,uncern_ELT_3of4_SHMS,uncern_HMS3-4_evts_scaler,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS3-4_evts_scaler,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT_HMS,uncern_TLT_ELT_SHMS,uncern_charge,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
,5551343,,5545137.391729831,0.9078822203759012,1.0300349390492538,0.980650229449708,0.980650229449708,0.001885332894805,0.9954849230301488,0.877429520114684,-1,,38302,48104090,92929652,1262.9585929653852,65,0.896691932950644,0.002435562220691,47724431,0.9954,0.0027,,1025,,65,,,0.877429520114684,2.15531662122709e-39,2,641326065,943932593,1067.7645326023217,1025,0.896691932950644,0.002435562220691,640946406,0.9413,0.0037,0.8862950673891538,0.9762225181832404,0.8604514602264121,5500,780.2143283928617,761.2483380274374,782.0885405855554,1200.550120403579,762.9670227392171,9325.201042683706,8482.494131856249,9792.025348345831,17667.08512479227,8905.459468321596,0.9805293387381399,,,,,40732.9665875222,1.00035964456563,69.51307593521466,0.5108794997616282,469462,455642,2984,776.7328613369455,758.0386929847609,776.8865884459726,1202.4876118849752,758.1887202368625,9447.319623352241,8941.04645264762,9449.898226691668,17804.41977659212,8943.486871005414,6.792674478940313,338674,282959,2516,9473.675988520636,82092.30854275003,158589.6264694829,1094458.6459173795,1610873.5383647021,12126,379659,5840.907692307693,6205.60827016886,370.3990243902439,585.975603,1346443,3.576368345939699e-05,0.0004244250114814332,0.001885332894805,9.071110702727267e-05,0.13969267852909198,0.00010373441081104079,0.0014594854766990786,0.00014418132035815716,0.001481453844191565,3.2548389836562405e-05,0.0017183398875858008,3.948758324713433e-05,0.001879915133522877,0.011951653636608627,0.004607774786082202,0.12020194956802642,63.10071380181538,0.0033805820549634756,0.006080582054963476,0.007843798671834245,0.006180008739993543,0.008295491402217752,0.005188567773687353,0.008888567773687352,0.12037285766813029,0.1398292154207045,0.12042970922157022,1.002686552093941,1.001777247959676,1.0070349850898352,0.9978440314655029,1.0061217375017633,0.9378214939424511,0.8795368417544022,1.06853663815085,1.0268780068367644,1.002128172673057,778.8195946320029,759.3859157052235,782.351974012183,1199.8950864306287,762.8301525589504,8859.899402924033,7863.979758941089,10097.562482016794,18282.967093071988,8962.520155366134
,3724095,,3717647.8094409006,0.8728847729921709,0.9451816259405849,0.99704994984597,0.99704994984597,0.002102800068104,0.9964262312082035,0.920209683261756,-1,,32625,39431292,75943166,999.6556060969243,65,0.919989177060796,0.002239446445418,39036853,0.996,0.003,,1025,,65,,,0.920209683261756,2.17456789668064e-39,2,536160552,773122381,861.9731686606372,1025,0.919989177060796,0.002239446445418,535766113,0.9527,0.0038,0.8671994334197196,0.9934867238513482,0.9174950185439097,5591,780.2143283928617,761.2483380274374,782.0885405855554,1200.550120403579,762.9670227392171,9325.201042683706,8482.494131856249,9792.025348345831,17667.08512479227,8905.459468321596,0.9847693940297452,,,,,32994.1350836887,1.00045981221622,54.37002132233863,0.4951969759582597,377367,366454,3005,776.7328613369455,758.0386929847609,776.8865884459726,1202.4876118849752,758.1887202368625,9447.319623352241,8941.04645264762,9449.898226691668,17804.41977659212,8943.486871005414,6.720050502105522,292492,247261,2586,6136.821712187092,64977.61439630009,125144.40958166441,883522.4978771531,1274004.6142481815,12128,394439,6068.292307692308,6447.19055909944,384.81853658536585,606.844255,1096373,2.1883420477256573e-05,0.0005181907119738957,0.002102800068104,7.173172844844055e-05,0.08670884276659739,0.00011475078118278081,0.001627863705550161,0.00015925002028672203,0.001651924775357983,3.59646532223791e-05,0.0018490259400818156,4.3186953711306193e-05,0.002011046855342314,0.011598543227165987,0.0035887617848020105,0.07955901229504127,54.3859567764625,0.0037525471941314177,0.006752547194131418,0.0063347957351983794,0.004962961980975906,0.0070092536697345725,0.005622061677889004,0.009422061677889003,0.07973490966887972,0.08685059449796682,0.07982540836039868,0.974356175219491,0.97340653139073,0.9776572947734565,1.0022546911337267,0.9767044335505921,0.9791323374320994,0.91800937331339,1.0637414258952003,1.0059807685748625,0.9973366851661815,756.8144599395574,737.8798147982586,759.5288404058692,1205.1988500419084,740.5262845233932,9250.17614528102,8207.964450760952,10052.24821422552,17910.903890885624,8919.667549755804
,2059067,,2052553.951357025,0.9249070561642592,0.9649847915231098,0.998132882319342,0.998132882319342,0.002132754044221,0.997386007753934,0.955962585519175,-1,,17450,27521925,52771620,731.1866422562221,65,0.942944621528292,0.0020582601859,27145534,0.9966,0.0035,,513,,65,,,0.955962585519175,3.28492624325748e-39,5,381341765,537524244,1283.6889584975231,513,0.942944621528292,0.0020582601859,380965374,0.9676,0.0033,0.9207669601037641,0.9955237707044158,0.9541776908737046,5997,780.2143283928617,761.2483380274374,782.0885405855554,1200.550120403579,762.9670227392171,9325.201042683706,8482.494131856249,9792.025348345831,17667.08512479227,8905.459468321596,0.9889260629783339,,,,,22887.9348562427,1.00063251466836,39.52477507737889,0.37698829143098533,276119,268495,2183,776.7328613369455,758.0386929847609,776.8865884459726,1202.4876118849752,758.1887202368625,9447.319623352241,8941.04645264762,9449.898226691668,17804.41977659212,8943.486871005414,5.198269884242716,377573,323825,3814,3555.7668507631097,47527.131746654435,91130.38917969524,658532.4357092294,928241.2317310226,12129,376391,5790.630769230769,6513.04864297496,733.7056530214425,579.078181,1164593,1.1568710105644028e-05,0.0006968908474950743,0.002132754044221,5.24168621926538e-05,0.046066043951823336,0.00013765747105874156,0.001903057252748658,0.00019061654630174552,0.0019298870803032661,4.313213655232673e-05,0.0016274195719980524,5.1208589516128847e-05,0.0017572955646932955,0.011890863650549347,0.002623427243159517,0.04395954790914378,42.48904738583896,0.004047380007075302,0.0075473800070753015,0.005051624475099341,0.003879947760627456,0.006145641531803063,0.005628137307030002,0.008928137307030003,0.04415999614209292,0.046228756636113325,0.04428312612349835,1.0221263015195425,1.0218894059019932,1.0246023499872747,0.9993312419915782,1.0243648805022587,0.9069352490283782,0.8493958268523852,0.9484552914717171,0.9882611928148595,0.8882816798610629,793.9190868270238,774.6317096249207,795.9998241953402,1201.6834386644991,776.6618978035941,8568.107175255649,7594.487544572212,8962.805976974909,17595.417125791402,7944.3355415920505
,880707,,874357.9383306751,0.9538037974327289,0.9695216802667402,0.997868336262207,0.997868336262207,0.00220373073874,0.9983699268186568,0.982184356290292,-1,,34426,17713697,33928112,898.1119456436813,33,0.965168531860614,0.001784095789898,17516480,0.9966,0.0031,,513,,33,,,0.982184356290292,4.21276363047619e-39,3,251629130,346254119,820.6892639010296,513,0.965168531860614,0.001784095789898,251431913,0.9762,0.0036,0.9502191527211231,0.9962417378487544,0.9800906695141604,6033,780.2143283928617,761.2483380274374,782.0885405855554,1200.550120403579,762.9670227392171,9325.201042683706,8482.494131856249,9792.025348345831,17667.08512479227,8905.459468321596,0.9931000259517085,,,,,14713.4125008214,1.00101552681774,24.61776445818371,0.5280883493816456,344751,335303,3156,776.7328613369455,758.0386929847609,776.8865884459726,1202.4876118849752,758.1887202368625,9447.319623352241,8941.04645264762,9449.898226691668,17804.41977659212,8943.486871005414,7.483639848491763,294151,253857,2877,1473.5560143823345,29637.694206241482,56766.86286612626,421013.5923812282,579335.510626243,12130,197217,5976.272727272727,6349.06166932483,384.43859649122805,597.674599,1028614,4.491338154471159e-06,0.0010655756211471194,0.00220373073874,3.265469316644016e-05,0.01813879807350796,0.00017168017742488453,0.001703127779435286,0.00023759942986294663,0.0017269560311478811,5.374060184112075e-05,0.0018438043507155379,6.304048445563465e-05,0.001984748252808461,0.01223459545414417,0.0016384142424051688,0.017782446846365922,35.696072146402294,0.003911349856329757,0.007011349856329756,0.00399528463859501,0.00323029003320909,0.00505690610387352,0.006478117053724753,0.010078117053724755,0.018165689753162136,0.018422736591906467,0.018518970927352843,1.0035230101821309,1.003502969437687,1.0049625997762888,0.9975335655712998,1.0049425302826809,1.0943560052166919,1.022254177109528,1.1139022732075148,0.9829973428199916,1.040512635970513,779.4692991162312,760.6940793588707,780.7419656559963,1199.5217550389366,761.9360909466203,10338.73096301702,9140.022083949358,10526.263116291511,17501.697330841762,9305.811098917518
,353306,,347039.96479414025,0.9909735029549374,0.994405375386612,0.999106113439902,0.999106113439902,0.003175617882133,0.9992062618371853,0.995757820679853,-1,,19613,8512609,16181016,437.3213018262653,33,0.983537448926927,0.001470203949614,8317971,0.9976,0.0045,,513,,33,,,0.995757820679853,8.47977208757203e-39,6,121947398,164258962,403.0018680974647,513,0.983537448926927,0.001470203949614,121752760,0.9832,0.005,0.9893018146790683,0.9983130847889633,0.9948677261468347,6199,780.2143283928617,761.2483380274374,782.0885405855554,1200.550120403579,762.9670227392171,9325.201042683706,8482.494131856249,9792.025348345831,17667.08512479227,8905.459468321596,0.9966928422447678,,,,,6952.24043222442,1.00212111072233,11.786277697257816,0.5467842867271551,166644,162361,3225,776.7328613369455,758.0386929847609,776.8865884459726,1202.4876118849752,758.1887202368625,9447.319623352241,8941.04645264762,9449.898226691668,17804.41977659212,8943.486871005414,7.838459088153392,144963,125745,2974,598.9670047666945,14431.602960266755,27432.01272438611,206739.95833399938,278471.6321693554,12131,194638,5898.121212121212,6266.03520585977,379.411306042885,589.858869,505185,1.0317884564602087e-06,0.0016823815367827944,0.003175617882133,1.5887373671083526e-05,0.004260252073391387,0.0002485977000355121,0.002449656325077274,0.00034274304995507844,0.0024817563469627787,7.802530283935094e-05,0.002626463779125413,9.05552702305747e-05,0.002820035902105606,0.012566150845441083,0.0008045338692695579,0.00424843804576837,30.533944458273478,0.005626305995666734,0.010126305995666733,0.005193184950788009,0.004520929581649419,0.006871620619118248,0.010195070942546276,0.015195070942546277,0.006728195663555574,0.006203146545189809,0.008382637823924401,1.0205023101473636,1.021244881492036,1.02111087203323,0.9969544365957986,1.0218538861996516,1.134613572930991,1.0576937041695569,1.1391363906105467,0.9889877908680395,1.0619099024408463,792.6576793617246,774.1431351836001,793.2873417989882,1198.8253596202128,774.7580902467784,10719.057072472751,9456.88854165294,10764.722957590553,17608.353782539074,9497.177270670349
,526820,,520763.3820662768,0.9536995192638353,0.9615946819986395,0.999762088091598,0.999762088091598,0.00265055898555,0.9988191169187047,0.990618323363653,-1,,25842,12241319,23360617,650.6242872150148,33,0.975169518152459,0.001650147121108,12053186,0.9971,0.0037,,513,,33,,,0.990618323363653,6.75124453779411e-39,4,175149702,237737442,598.836182449585,513,0.975169518152459,0.001650147121108,174961569,0.9805,0.0043,0.9523466831024329,0.9985814859564501,0.9903826434678434,5768,780.2143283928617,761.2483380274374,782.0885405855554,1200.550120403579,762.9670227392171,9325.201042683706,8482.494131856249,9792.025348345831,17667.08512479227,8905.459468321596,0.9950373058191593,,,,,10090.9132151843,1.00141251654048,17.698907788716994,0.527626732152254,239058,232558,3008,776.7328613369455,758.0386929847609,776.8865884459726,1202.4876118849752,758.1887202368625,9447.319623352241,8941.04645264762,9449.898226691668,17804.41977659212,8943.486871005414,7.525952384749087,206999,179317,2760,924.0133576038877,21470.601478095487,40973.23972109726,307202.9615966371,416978.42149231146,12132,188133,5701.0,6056.6179337232,366.7309941520468,570.143273,719350,2.323356567913999e-06,0.0013777450932892792,0.00265055898555,2.3645584296348292e-05,0.009470526049317836,0.00020689873979443772,0.002045259219848781,0.0002858155757036653,0.0020736447574262926,6.485615639239924e-05,0.0021979402203600507,7.556058273813467e-05,0.002361507165976915,0.012540550153052749,0.0011881829308494395,0.009386405832223256,31.284264285951167,0.004698141561966695,0.008398141561966695,0.004186850325147091,0.003466569103395666,0.005587460572136891,0.00795106370208822,0.01225106370208822,0.010240625339847027,0.010081241230330586,0.011106773039506886,1.010336466660362,1.01003313046341,1.0113308088955655,0.9980482824450511,1.0110271741644097,1.1181433620696768,1.0438145984106604,1.1284247694487577,0.98656483784928,1.0534125475454004,784.7615346621624,765.6441940877899,785.6893419131817,1200.1406957032507,766.5493993044054,10563.457726201908,9332.794812341435,10663.49922776877,17565.21450989412,9421.181288724654
,270642,,264268.1173134857,0.9785933201319492,0.9799341305517558,0.999824064282273,0.999824064282273,0.003838988942696,0.9994641679026094,0.998096635199373,-1,,14418,5845541,11049250,295.2242960829614,33,0.989109922682678,0.001315361372681,5647553,0.9978,0.0055,,513,,33,,,0.998096635199373,1.15605982058182e-38,7,83373351,111464174,270.8639558738738,513,0.989109922682678,0.001315361372681,83175363,0.9865,0.0061,0.9778968811565443,0.999288326456887,0.9979210343514983,6233,780.2143283928617,761.2483380274374,782.0885405855554,1200.550120403579,762.9670227392171,9325.201042683706,8482.494131856249,9792.025348345831,17667.08512479227,8905.459468321596,0.997796640888768,,,,,4706.56427496789,1.00318709265903,7.844139682971703,0.5410327898660524,110950,108070,3246,776.7328613369455,758.0386929847609,776.8865884459726,1202.4876118849752,758.1887202368625,9447.319623352241,8941.04645264762,9449.898226691668,17804.41977659212,8943.486871005414,7.742105582156494,86155,80483,2988,451.0622883384104,9742.401770737726,18415.10182980905,138953.20936329724,185770.4472779197,12133,197988,5999.636363636364,6373.88268651427,385.94152046783626,600.010258,339600,4.579851732808676e-07,0.0019222169517953388,0.003838988942696,1.0722387347113426e-05,0.001906994506846348,0.0003008386284270525,0.003002177368174217,0.0004136067754838808,0.003041917450355221,9.471796287132105e-05,0.0034069029053406647,0.00010951821867577355,0.003524909099274079,0.012387332934387405,0.0005506589170589175,0.0019177423038303138,30.195326137923384,0.006841624296043499,0.012341624296043498,0.0071367996550890786,0.006464425779470456,0.00901021139135368,0.013661926966304421,0.019761926966304424,0.007543363843424542,0.006728018832712174,0.00970115137879441,1.0007325236405573,1.000996744342974,1.0010709087471876,0.9974347814227126,1.0013352187925086,0.9932022403433888,0.9937669014424624,0.9948247386283025,0.9934964532416309,0.9953903221595131,777.3018365202726,758.7942637637489,777.7185630891121,1199.4029683240099,759.2010680643909,9383.099015153506,8885.316028900746,9400.992533432598,17688.627900069423,8902.260277759455
,86094,,79593.63910422049,1.029057899445917,1.02949358276282,0.999694035618213,0.999694035618213,0.002466207200006,0.9996708551924391,0.99924779290114,-1,,29610,3664287,6987465,664.9390051734564,9,0.993197895287167,0.001161386964528,3609200,0.9977,0.0036,,129,,9,,,0.99924779290114,1.66702376556204e-38,22,53474551,71212097,677.0056191337848,129,0.993197895287167,0.001161386964528,53419464,0.9885,0.0038,1.0284044389505174,0.9993649915172397,0.998942058667933,6685,780.2143283928617,761.2483380274374,782.0885405855554,1200.550120403579,762.9670227392171,9325.201042683706,8482.494131856249,9792.025348345831,17667.08512479227,8905.459468321596,0.9986217541260439,,,,,2998.62712710907,1.00510484671856,4.897306692700218,0.5450287726686878,262558,255724,3336,776.7328613369455,758.0386929847609,776.8865884459726,1202.4876118849752,758.1887202368625,9447.319623352241,8941.04645264762,9449.898226691668,17804.41977659212,8943.486871005414,7.844863579428903,221850,207862,3350,140.60725276230602,5984.451046561108,11411.80869076552,87333.72486825823,116302.38254248675,12135,55087,6120.777777777777,6500.3608957795,427.031007751938,612.301274,829441,1.791984663199098e-07,0.003408109634488479,0.002466207200006,6.585063590705438e-06,0.0007527733403104502,0.0003783033413801825,0.0019515845541783468,0.0005224025149966965,0.0019774898156817698,0.00011850129942730195,0.0021230991843282734,0.000136749713979046,0.0021933727782317437,0.012579042611540407,0.00033532758189321445,0.0007580564132751228,30.37680254108145,0.004417970952650667,0.008017970952650666,0.010330635058421989,0.010152528827920115,0.010939927820159394,0.014719722272270967,0.01851972227227097,0.010386678656972813,0.01016790352221967,0.011059977103195763,1.0111000441984355,1.0113947519210127,1.0112328139281919,0.9975586797656844,1.0115275603494762,1.0067892699130856,1.0083187213199205,1.007272223618215,0.9976165562129612,1.008802408698169,785.3546304281627,766.676355837851,785.6132109372941,1199.5519545465665,766.9287864656851,9511.46002623037,9015.42452639566,9518.619999765544,17761.98394289377,9022.211097630712
,46254,,39214.726153846146,1.006360526474745,1.0064360192308393,0.998638139986921,0.998638139986921,0.002222429518281,0.9998021241307117,0.999727128983025,-1,,32684,2383601,4544507,719.5486155938441,5,0.995936289260207,0.000998915857321,2350445,0.9976,0.0033,,65,,5,,,0.999727128983025,1.99593036532782e-38,47,34831993,46293579,808.8380157560724,65,0.995936289260207,0.000998915857321,34798837,0.9898,0.0033,1.004791141044268,0.9984405335968666,0.9983656405820727,7073,780.2143283928617,761.2483380274374,782.0885405855554,1200.550120403579,762.9670227392171,9325.201042683706,8482.494131856249,9792.025348345831,17667.08512479227,8905.459468321596,0.9991730688991319,,,,,1940.09386043781,1.00853730269847,2.9283253602430586,0.5017191458559537,303295,295285,3327,776.7328613369455,758.0386929847609,776.8865884459726,1202.4876118849752,758.1887202368625,9447.319623352241,8941.04645264762,9449.898226691668,17804.41977659212,8943.486871005414,7.351610568222946,283765,265819,3750,69.81454040688368,3597.743077969221,6859.356327687676,52574.47102414471,69874.2798822753,12137,33156,6631.2,7039.27384615385,510.0923076923077,662.526742,1011218,6.450893213322955e-08,0.004649704485797918,0.002222429518281,3.958300637946079e-06,0.0002729454958900826,0.00046909047183056184,0.001815797336078548,0.0006477139050254672,0.0018402605109950837,0.00014697369783799768,0.0018772433997431906,0.0001694380083063972,0.0019395768417429806,0.01194826818116136,0.0002030906659619506,0.0002774439838738699,32.67247539808206,0.004038291363291682,0.007338291363291682,0.01694139760076669,0.016855032953211925,0.017259807434246287,0.02094040481132145,0.02424040481132145,0.01694914761364181,0.01684564618426192,0.017267414538054613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,776.7328613369455,758.0386929847609,776.8865884459726,1202.4876118849752,758.1887202368625,9447.319623352241,8941.04645264762,9449.898226691668,17804.41977659212,8943.486871005414
,292594,,285580.79308766307,0.9412735038060934,0.9445625693413368,0.99967531622219,0.99967531622219,0.002141334823554,0.999211648166476,0.995732288830133,-1,,37526,9465025,18075864,843.1570412021772,17,0.983472187089761,0.001431029637105,9352788,0.9974,0.003,,257,,17,,,0.995732288830133,5.38416261030347e-39,9,137092485,184466902,807.82288551928,257,0.983472187089761,0.001431029637105,136980248,0.9848,0.0034,0.9402260738094731,0.9988872203537176,0.9954089907089082,6594,780.2143283928617,761.2483380274374,782.0885405855554,1200.550120403579,762.9670227392171,9325.201042683706,8482.494131856249,9792.025348345831,17667.08512479227,8905.459468321596,0.9966804954621328,,,,,7812.01059134081,1.00211320465224,11.830373349525733,0.5093774780152712,352905,343382,3363,776.7328613369455,758.0386929847609,776.8865884459726,1202.4876118849752,758.1887202368625,9447.319623352241,8941.04645264762,9449.898226691668,17804.41977659212,8943.486871005414,7.398335664709499,284222,264890,3231,443.099278906254,14333.669700437013,27373.7749373108,207610.48157845496,279353.4770305291,12140,112237,6602.176470588235,7013.20691233692,436.7198443579766,660.335085,1076350,1.039506895520104e-06,0.0018487036212960933,0.002141334823554,1.5779476449670996e-05,0.004286002590998701,0.00023520712175014618,0.00168333709629734,0.00032504172737074727,0.0017065194287579281,7.362762181772591e-05,0.0018757335845894813,8.54069426750844e-05,0.001942975025538409,0.011579423266457462,0.0007931910697822688,0.004270892742214189,34.194750964797,0.00382571142674686,0.00682571142674686,0.004864378993141357,0.004506141170932287,0.005715083812938786,0.008395310245345622,0.011795310245345622,0.0064775233254552285,0.0062109998946922,0.007315620850742373,0.9902401183793308,0.989854069329043,0.9908252926912976,0.9976252292283176,0.9904390155084754,0.9912602004140365,0.9912147571018751,0.9952370987179274,0.9902662210122093,0.9951914730889221,769.1520405594132,750.3476849598346,769.7588813849245,1199.6319794509607,750.939689641029,9364.751943219602,8862.497187797693,9404.889294312303,17631.115489480922,8900.481873707313
