COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,c_int_Track_events,c_int_noTrack_events,c_int_Track_Rand_events,c_int_noTrack_Rand_events,HMS_3-4Trig_scaler,SHMS_3-4Trig_scaler
1208.0,12192.0,1.0,0.9977705522462208,0.0335597173111291,188.0,2880648.0,513.0,0.9987325291138572,0.0009996210377272,0.9949,0.0014,513.0,,,513.0,1.0,,,4475850.0,513.0,0.9987325291138572,0.0009996210377272,0.9915,0.006,2079.0,6283.512298767052,0.9988941091843866,12369.185713216548,12500.703972813351,443.0,1990.3099854270563,2021.907733168628,649.0,16241,2098.0,2098.0,210.572077,26474,142497.45131277447,141618.63401923902,60873.9343029498,60649.56496940679,,
6629.0,67253.0,1.0,0.9980677591570648,0.0145577102392468,1000.0,16031191.0,513.0,0.9987750054276566,0.0006488935805489,0.9981,0.0004,513.0,,,513.0,1.0,,,23545742.0,513.0,0.9987750054276566,0.0006488935805489,0.9984,0.0011,10976.0,33113.00922184462,0.9988875804520748,68408.15342581106,69163.80163867965,2372.0,10723.950747416926,10793.057012334995,3486.0,16240,11125.0,11125.000000000002,1116.2290530000002,143454,787818.2888562782,785406.4746321539,330189.26935785473,328887.24657186324,,
1698.0,199706.0,1.0,0.9328119548308365,0.0496473958573395,641.0,14630315.0,513.0,0.990332017419807,0.0019676339053279,0.9938,0.0008,1025.0,,513.0,,,1.0,,17521768.0,1025.0,0.990332017419807,0.0019676339053279,0.9913,0.0043,938.0,8481.074764590614,0.9995873559334,142099.75474681242,140079.15607257152,112.0,24308.33428985149,24153.14819184643,66.0,16222,1057.0,1057.0,106.05046,228838,3684.014150670325,3758.630293792891,25722.15308326927,25888.240466839547,,
21560.0,1511704.0,1.0,0.9979719246060028,0.0129322892523136,1816.0,83855922.0,513.0,0.987011123176776,0.0009250100263693,0.9965,0.0003,2049.0,,,513.0,1.0,,,649919870.0,2049.0,0.987011123176776,0.0009250100263693,0.9915,0.0004,28074.0,116902.65520895072,0.9991645076481502,905911.868590836,903173.279219364,2441.0,186705.28480095408,181721.6570974732,4770.0,15816,29497.0,29497.0,2959.735586,1989930,12038841.71016796,12011676.840105718,8171048.123970726,8163465.865756692,,
13898.0,2183547.0,1.0,0.9965490591292582,0.015211097639935,3918.0,153066135.0,513.0,0.9903927237617076,0.0010432207421073,0.9945,0.0002,1025.0,,,513.0,1.0,,,218949826.0,1025.0,0.9903927237617076,0.0010432207421073,0.9942,0.0009,12509.0,105882.37164619242,0.9995840941464066,1905660.6482950607,1881618.812811147,1563.0,285885.26159983955,284184.9752588003,1130.0,16220,13297.0,13297.0,1334.4575200000004,2680359,16597784.56940231,16612962.815767763,21124641.44547379,21272930.984452218,,
20581.0,2220874.0,1.0,0.9949665988646026,0.0157296342161489,7553.0,163714396.0,513.0,0.9903851376878058,0.0010728107639898,0.9929,0.0002,1025.0,,513.0,,,1.0,,196083921.0,1025.0,0.9903851376878058,0.0010728107639898,0.9958,0.0008,11153.0,94884.57243479676,0.999584239073511,1691949.0481004426,1669821.4625899568,1293.0,288155.1102047471,286457.4814886844,773.0,16223,11911.0,11911.0,1195.433265,2720795,55869.41502800069,56494.766016856855,295234.0135667173,296830.9385060775,,
,13189.0,,0.999910389323922,0.0021435488346577,,485409.0,,0.9999844369511246,0.0001878997785906,,,,1.0,,,,,,435216.0,1.0,0.9999844369511246,0.0001878997785906,0.9988,0.0032,13180.0,1351.4907877150872,0.9677358320253734,-1.0,-1.0,-1.0,282028.5753641015,287583.73501647776,13180.0,16738,13182.0,13182.0,1321.3553269999998,435178,,,,,,
,7512.0,,0.9997760655024176,0.0017756541472997,,704573.0,,0.9999481277024768,0.0003122218507556,,,,1.0,,,,,,634114.0,1.0,0.9999481277024768,0.0003122218507556,0.9988,0.0026,7478.0,1958.7080186284736,0.9873502285377126,-1.0,-1.0,-1.0,418366.6879433603,425286.3849407176,7478.0,16739,7483.0,7483.0,750.824509,633973,,,,,,
,5880.0,,0.9978625817279564,0.0014589180502414,,1040233.0,,0.9998989563983112,0.0003951015459562,,,,1.0,,,,,,936644.0,1.0,0.9998989563983112,0.0003951015459562,0.9988,0.0022,5747.0,2893.1464657381825,0.993410113276745,-1.0,-1.0,-1.0,620958.1765051046,631593.313213282,5747.0,16740,5759.0,5759.0,577.742651,934643,,,,,,
,592895.0,,0.998999853123874,0.0015423989003134,,59369542.0,,0.9919313556736962,0.0012652433411019,,,,65.0,,,,,,54562986.0,65.0,0.9919313556736962,0.0012652433411019,0.9967,0.0023,2542.0,30526.12942028343,0.9994436992349344,-1.0,-1.0,-1.0,541097.028920311,541810.3772911386,2542.0,16764,169489.0,2607.523076923077,514.5972469999999,838592,,,,,,
