COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT,accp_edtm,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_COIN_notrack,min_yield_COIN_scaler,min_yield_COIN_track,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rate_COIN,rate_HMS,rate_SHMS,rate_TOTAL,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncern_COIN_evts_notrack,uncern_COIN_evts_scaler,uncern_COIN_evts_track,uncern_CPULT_phys,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT,uncern_charge,uncern_yieldRel_COIN_notrack,uncern_yieldRel_COIN_scaler,uncern_yieldRel_COIN_track,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_COIN_notrack,yieldRel_COIN_scaler,yieldRel_COIN_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_COIN_notrack,yield_COIN_scaler,yield_COIN_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
5462,707680,1,0.987504118186469,0.987504118186469,0.011747004336225,2017,18554484,129,0.969158971301364,0.001976712779985,18551021,0.9967,0.0003,1025,,,129,1,,,179396775,1025,0.969158971301364,0.001976712779985,179393312,0.9949,0.0004,0.876985272884782,0.956453974453838,3037,5516200.05783531,3365647.03872002,5511038.39948409,3362288.16186352,13730.9955455118,0.996456992178116,39.5144484681274,15.9434016748484,453102.316820518,449396.775880226,428,211.44607807953,15.5160688080802,212.626731091524,826.609033865079,828.422031914431,842.686674275125,1393.8226051948,844.534935344246,1696.83768078455,1681.79505258174,1729.84136807588,13666.2963789072,1714.50615903115,157.760612185966,92504.5045185588,88819.3173701879,533,2036.53003886268,53395.2690786753,516260.062687358,571691.861804896,12200,3463,26.8449612403101,3463,3.37853658536585,347.493033,1013707,4.72080519255462E-07,0.001188725390222,4.71652651816943E-07,0.011747004336225,0.001485599890024,0.000232153673121,0.001491712138891,0.003287899690838,7.46608077552739E-05,0.003355415330826,0.015915668643395,0.087691596434364,18.926454685074,0.018200428866782,0.001378374541187,0.018207357097018,0.013232604226249,0.013532604226249,0.016044171271069,0.011829874157362,0.01604697578285,0.016413278568249,0.016813278568249,0.016310079985063,0.011827831647741,0.016314984189976,0.963185419052263,3.3171432189541,0.966922334392135,5.23342910289731,5.1964178178548,5.78052097283395,0.972746614850323,5.73964060449165,4.13568017687007,4.02697834622885,4.56801564123532,0.959389205649464,4.44795034571825,203.66177932199,51.4690224315485,205.593535181186,4325.99977454733,4304.82700734363,4871.16799417506,1355.8362209051,4847.32700681356,7017.57795978685,6772.55225954146,7901.94242622654,13111.29722713,7626.03826279865
13236,2089238,1,0.988890594804151,0.988890594804151,0.006875663662804,4862,54571283,129,0.969084198767303,0.001511236308257,54561110,0.9964,0.0002,1025,,,129,1,,,527691517,1025,0.969084198767303,0.001511236308257,527681344,0.9947,0.0002,0.882335594219994,0.957757842747522,8976,16269757.2961002,9885625.22149757,16253605.6890684,9875681.51433507,40407.4863517335,0.996463007110219,39.5816458677338,15.6098496018873,1334340.00110413,1323137.82913136,1231,211.44607807953,15.5160688080802,212.626731091524,826.609033865079,828.422031914431,842.686674275125,1393.8226051948,844.534935344246,1696.83768078455,1681.79505258174,1729.84136807588,13666.2963789072,1714.50615903115,155.669419050428,273405.769479669,262747.799430217,1545,2046.53855301902,53455.96554687,516906.658619838,572409.162719727,12201,10173,78.8604651162791,10173,9.92487804878049,1020.864228,2993464,1.59759137686701E-07,0.000691840595587,1.59601510889964E-07,0.006875663662804,0.000865698663841,0.000135368593889,0.000869355601706,0.001912476742968,4.35321326299273E-05,0.001950879550076,0.009313463362968,0.087323177867541,55.6964832974046,0.010645081840493,0.001378370404251,0.010648872444924,0.007741362326645,0.007941362326645,0.009454625268155,0.007013770771242,0.009456740398321,0.010166510810023,0.010366510810023,0.009607188562585,0.007012599434011,0.009609270111567,0.954037923244333,3.32784703040598,0.958210218817991,5.22979670095373,5.19323739265413,5.74954231680646,0.972193421429659,5.70934968558938,4.14782073902715,4.04321189706875,4.56003784185626,0.958954253265809,4.44503280476902,201.727577209154,51.6351035065446,203.741106525764,4322.99719828614,4302.19227303654,4845.06269355374,1355.06516741033,4821.74526757692,7038.17852312089,6799.85376502984,7888.14209883442,13105.3530389442,7621.03612087197
19305,2240349,1,0.993595348129164,0.993595348129164,0.005044386120022,8572,74663793,129,0.976880435627717,0.001204500662625,74645267,0.9969,0.0001,1025,,,129,1,,,724750920,1025,0.976880435627717,0.001204500662625,724732394,0.9961,0.0002,0.910774047284897,0.9700294614318,16873,17518543.7853496,13165254.8271511,17494022.9043668,13151766.091734,55130.9496604265,0.995279276595034,29.6564716866728,18.7031199395444,1527359.96799407,1517888.35770242,2686,211.44607807953,15.5160688080802,212.626731091524,826.609033865079,828.422031914431,842.686674275125,1393.8226051948,844.534935344246,1696.83768078455,1681.79505258174,1729.84136807588,13666.2963789072,1714.50615903115,186.177534276152,311406.245905787,301256.520468892,3365,1205.14605853883,40163.7315657111,389863.684033333,431232.561657583,12202,18526,143.612403100775,18526,18.0741463414634,1858.98546,3503830,1.75142186585021E-07,0.000668101060542,1.74816402132256E-07,0.005044386120022,0.000809150483936,0.000115729739516,0.000811671103918,0.00179199313054,3.71454490031631E-05,0.001821930357227,0.007011729745708,0.088321902886629,75.9911837380584,0.007821068836643,0.001378376106454,0.007824288713471,0.005853536603958,0.005953536603958,0.007191592259253,0.005230597039662,0.007192287481973,0.008214755357016,0.008414755357016,0.007367191737534,0.005229448518065,0.00736990597617,0.968687326246952,2.6096804157397,0.970978408560474,4.37200834404606,4.34886893597744,4.67857833981739,0.97601015693075,4.65381637120553,3.45033211238297,3.38091557367486,3.69227316506724,0.966465607519922,3.61798906291837,204.825136020264,40.4919808977166,206.455964972664,3613.94159332198,3602.69884047198,3942.57562151635,1360.3850196298,3930.31050816005,5854.65353951238,5686.00708500292,6387.04686316978,13208.0054323879,6203.06453168086
19765,821640,1,0.989244607173809,0.989244607173809,0.001781186219415,36738,37840952,33,0.984573527620331,0.001162250293307,37826903,0.9972,0.0001,257,,,33,1,,,368903255,257,0.984573527620331,0.001162250293307,368889206,0.9965,0.0001,0.937433269271834,0.97351431979675,13170,6167629.89407466,6381983.12067737,6157552.57799408,6376152.55894327,27841.8641543589,0.992911452829961,19.7501683549104,10.2718342942558,1052438.29425756,1049475.89746059,4373,211.44607807953,15.5160688080802,212.626731091524,826.609033865079,828.422031914431,842.686674275125,1393.8226051948,844.534935344246,1696.83768078455,1681.79505258174,1729.84136807588,13666.2963789072,1714.50615903115,101.581678411275,241286.495767266,236799.062448436,5553,582.846329439761,26843.2159774429,261688.705631579,289114.767938461,12203,14049,425.727272727273,14049,54.6653696498055,1409.702624,3364488,1.20845716936894E-06,0.001103212599205,1.21958809503712E-06,0.001781186219415,0.000974768932347,0.000162561977291,0.00097614372212,0.00203579241497,5.20647462854636E-05,0.002054991409438,0.00816886960759,0.088518658761944,38.3770576851985,0.008822424877497,0.001378393970765,0.00882356545419,0.002755955151762,0.002855955151762,0.008341497172325,0.002258101123363,0.008342096563569,0.005195372605149,0.005295372605149,0.008530817742824,0.00225284376393,0.008531403832974,0.976329324412016,1.88278592606686,0.977812023544875,1.53637741004692,1.53299231188663,1.59035933666733,0.981712796092731,1.58685530020496,1.33632876862819,1.32785363446415,1.38328181613923,0.976419136381213,1.37450890093028,206.441006560958,29.2134359797384,207.908974188335,1269.98344657102,1269.96460592232,1340.17462031858,1368.33348700304,1340.15473835927,2267.53300852473,2233.17767299449,2392.85810926477,13344.0333078223,2356.60397628809
20982,868855,1,0.991154433657048,0.991154433657048,0.001734078255883,39238,40052376,33,0.984592672333503,0.001145161428368,40037495,0.9972,0.0001,257,,,33,1,,,390435508,257,0.984592672333503,0.001145161428368,390420627,0.9967,0.0001,0.944828976547275,0.975407098345919,14060,6551886.5872242,6827725.20601759,6544886.20874864,6819437.78553089,29453.250982201,0.992902125319669,19.7242141211586,10.3916403467509,1124465.57613216,1120895.43796479,4686,211.44607807953,15.5160688080802,212.626731091524,826.609033865079,828.422031914431,842.686674275125,1393.8226051948,844.534935344246,1696.83768078455,1681.79505258174,1729.84136807588,13666.2963789072,1714.50615903115,102.378603588469,256278.446597322,251837.194766134,5928,581.853666021306,26822.2221296577,261466.334054233,288870.409849913,12204,14881,450.939393939394,14881,57.9027237354086,1493.25346,3587362,1.04432624128043E-06,0.001072818731319,1.04129316820458E-06,0.001734078255883,0.000943033059023,0.000158010467397,0.00094453368148,0.001975349553467,5.06087191844126E-05,0.001992691477893,0.007968458779543,0.088689792197698,40.5981824023785,0.008545656263531,0.001378393931011,0.008546833538724,0.002677111314906,0.002777111314906,0.008141597908318,0.002220802677947,0.008142212015216,0.00508782174036,0.00518782174036,0.008324560709653,0.002215752348307,0.008325161320281,0.980522936613512,1.88201583429312,0.982273199066264,1.54874155317164,1.54477105990114,1.5936799019624,0.982244747773602,1.58959420069538,1.3391335782881,1.33209273905375,1.37798993343353,0.976882300794906,1.37074479691754,207.327729413951,29.2014871827886,208.857539356274,1280.20375897391,1279.72238028591,1342.9728164438,1369.07493328071,1342.46783550786,2272.29231524309,2240.30697812065,2383.70399164546,13350.363049972,2350.15039677502
16807,505435,1,0.988220199855484,0.988220199855484,0.001622797794943,80462,27393213,17,0.987667133292603,0.001125264073913,27380527,0.9973,0.0001,257,,,17,1,,,267369724,257,0.987667133292603,0.001125264073913,267357038,0.997,0.0001,0.953570865521047,0.975613519809984,12097,3672864.7813629,4574774.73364482,3664691.40446987,4570181.14996594,20103.4305658521,0.991134760422297,15.7920154072442,8.24940879709916,1127038.81688631,1125088.4956362,6156,211.44607807953,15.5160688080802,212.626731091524,826.609033865079,828.422031914431,842.686674275125,1393.8226051948,844.534935344246,1696.83768078455,1681.79505258174,1729.84136807588,13666.2963789072,1714.50615903115,81.3988648904304,172734.806008508,169850.163770098,4018,397.038569174284,21518.418974955,210029.168256023,231944.625800153,12205,12686,746.235294117647,12686,49.3618677042802,1273.012345,3133732,7.36887620952717E-07,0.001406589411552,7.37727408412914E-07,0.001622797794943,0.000941955883254,0.000191063844768,0.000942771961776,0.002406080047434,6.11566779163349E-05,0.002426425799305,0.008670226737806,0.088706606762241,27.7108152293815,0.009196268681196,0.001378412263453,0.009197362238562,0.002564753678197,0.002664753678197,0.008829503549973,0.002137755468728,0.008830069815069,0.005407290105827,0.005507290105827,0.009102860717799,0.002130078212309,0.009103409979104,0.985538981056098,1.59382697465259,0.986481383769695,1.17714791917229,1.17571358655659,1.19664633098039,0.985896709678643,1.19518823991637,1.32866676346627,1.32213029157972,1.35067495061748,0.981833631351797,1.34403020786834,208.388352338808,24.7299290068839,209.752311913594,973.041104183291,973.987038324613,1008.39791693739,1374.16512033727,1009.37822292197,2254.53182945561,2223.55218324722,2336.45340440196,13418.0294008324,2304.34806931417
16887,503427,1,0.988481926547647,0.988481926547647,0.001625778003456,80166,27287159,17,0.987647741536358,0.001126976314611,27274512,0.9974,0.0001,257,,,17,1,,,266592646,257,0.987647741536358,0.001126976314611,266579999,0.9967,0.0001,0.951371866845892,0.975871413989953,12032,3646177.46643945,4536670.93791567,3643741.9150891,4532575.98588948,20038.1475400303,0.991132887503446,15.7886798046607,8.19688463667273,1120536.44961687,1118296.35150454,6098,211.44607807953,15.5160688080802,212.626731091524,826.609033865079,828.422031914431,842.686674275125,1393.8226051948,844.534935344246,1696.83768078455,1681.79505258174,1729.84136807588,13666.2963789072,1714.50615903115,81.4263461690519,171232.861704472,168519.479094077,4007,396.665794187924,21500.4014402627,210056.639096135,231953.706330586,12206,12647,743.941176470588,12647,49.2101167315175,1269.146489,3114127,7.46315027672067E-07,0.00140939182453,7.45331269201977E-07,0.001625778003456,0.00094468497037,0.000191434778117,0.000945630662594,0.002416609300622,6.12457443798341E-05,0.002435986886126,0.00867356679587,0.088730101022491,27.6208289946551,0.009220519219475,0.00137841229782,0.009221610120167,0.002570462973826,0.002670462973826,0.0088330748394,0.002140051834318,0.008833640875564,0.005420799601895,0.005520799601895,0.009108829888468,0.002132352133326,0.009109378789854,0.982498446952826,1.59263297132667,0.983756885948149,1.17386072478481,1.17199736425987,1.19637966186097,0.985280818913406,1.19448055527389,1.32105758311636,1.31609582817456,1.34640029367824,0.982171369116808,1.34134335415026,207.745443327404,24.7114027691219,209.173010847932,970.323879606534,970.908437898523,1008.17319842402,1373.30667786635,1008.7805585182,2241.62028551801,2213.40345254743,2329.05892599413,13422.6450252274,2299.74144206611
15806,470381,1,0.988646526133338,0.988646526133338,0.001678445251286,75825,25611092,17,0.987693465104319,0.001143420397474,25599226,0.9972,0.0001,257,,,17,1,,,249712917,257,0.987693465104319,0.001143420397474,249701051,0.9969,0.0001,0.95137367267824,0.976051665229247,11289,3413442.64933257,4244689.97451952,3403226.04392456,4241538.27917765,18785.6702590128,0.991126455590797,15.7772355153592,8.22779369627507,1054112.37924006,1053152.9850465,5743,211.44607807953,15.5160688080802,212.626731091524,826.609033865079,828.422031914431,842.686674275125,1393.8226051948,844.534935344246,1696.83768078455,1681.79505258174,1729.84136807588,13666.2963789072,1714.50615903115,81.0028653295129,160865.793821646,158315.31149823,3740,395.051745113522,21509.5987909013,209722.594318729,231627.244854744,12207,11866,698,11866,46.1712062256809,1190.681995,2925700,7.94825981128316E-07,0.001458059055443,7.97401444709801E-07,0.001678445251286,0.000973994586803,0.000197599550306,0.000974438127317,0.002493263313698,6.32818979545459E-05,0.002513266486476,0.008954488889122,0.08874744097667,25.8944058614317,0.00951256689619,0.001378412667979,0.009513624308331,0.002652439838089,0.002752439838089,0.009112165395984,0.002180881823273,0.009112714096457,0.00555012123296,0.00565012123296,0.009396768311503,0.002172833298578,0.009397300394266,0.981006979650265,1.58714310720194,0.981728113891336,1.17771140103724,1.17736105436266,1.20050180114911,0.986423856703338,1.20014467476526,1.32360903078967,1.31836167097092,1.34922275871725,0.981327053329517,1.34387385498061,207.430078415694,24.6262216596156,208.741639677363,973.506883383285,975.351836952032,1011.64687027164,1374.89986977655,1013.56410530662,2245.94967807063,2217.21413575228,2333.94134277856,13411.1063554409,2304.08000132518
20119,436028,1,0.991099888925702,0.991099888925702,0.001545726212284,88603,28735011,17,0.990758473474707,0.000960899503842,28717259,0.9975,0.0001,257,,,17,1,,,281325115,257,0.990758473474707,0.000960899503842,281307363,0.9972,0.0001,0.962145110410095,0.981598447238162,17080,2923359.96248529,4686601.62004683,2918017.23701981,4680852.09656418,21056.2759103087,0.988156138841346,11.8204695347775,8.53255971158179,1134257.61839162,1133099.527002,8910,211.44607807953,15.5160688080802,212.626731091524,826.609033865079,828.422031914431,842.686674275125,1393.8226051948,844.534935344246,1696.83768078455,1681.79505258174,1729.84136807588,13666.2963789072,1714.50615903115,84.5905250112663,166641.967846266,164196.023235824,5843,244.77527328499,16131.120410552,157928.921780381,174304.817464218,12208,17752,1044.23529411765,17752,69.0739299610895,1781.34006,3192307,5.61774843601018E-07,0.001514407705049,5.61261363246482E-07,0.001545726212284,0.000938953634889,0.000186549597413,0.000939433344036,0.00244967126148,5.9620518339981E-05,0.002467849566655,0.007362213589262,0.089249353388147,29.0250155533305,0.007775043793077,0.001378449621246,0.00777633669593,0.002484679847173,0.002584679847173,0.007548771172892,0.002079469555906,0.007549433503296,0.005373847095006,0.005473847095006,0.007880558456197,0.002071942925819,0.007881192903459,0.990910651843714,1.29560946948711,0.991799545119554,1.13119093406834,1.1303888671077,1.14300146526457,0.990212366125251,1.14219102408824,1.22391891278342,1.22015738883826,1.23669759767713,0.989288883319611,1.2328968004364,209.524171059584,20.1027656769624,210.883095176832,935.052645127169,936.439042142814,963.192103455393,1380.18037984881,964.620222679143,2076.79172943577,2052.05465991924,2139.29066426196,13519.915083804,2113.809157798
16016,331222,1,0.99225419922499,0.99225419922499,0.001436742012511,50332,21799471,17,0.990742256430364,0.00103063574344,21786015,0.9974,0.0001,129,,,17,1,,1,213317887,129,0.990742256430364,0.00103063574344,213304431,0.9973,0.0001,0.961652794292509,0.98273817083021,12940,2211953.30023846,3564342.82826923,2208405.98311066,3564017.17643788,15977.0856337341,0.988168046503997,11.8323656399844,6.36236623067776,862666.82097748,861529.622279509,5036,211.44607807953,15.5160688080802,212.626731091524,826.609033865079,828.422031914431,842.686674275125,1393.8226051948,844.534935344246,1696.83768078455,1681.79505258174,1729.84136807588,13666.2963789072,1714.50615903115,63.215368608799,208332.435688055,205773.435492963,6594,245.297540606031,16144.3280422571,157979.702581276,174369.328164139,12209,13456,791.529411764706,13456,104.31007751938,1350.286673,3241865,7.35532988301974E-07,0.001737562409204,7.36031012966214E-07,0.001436742012511,0.001076659687747,0.000214179067095,0.001077370036058,0.002190894949977,6.84677984277892E-05,0.002204475851509,0.008454086320933,0.089351165140399,22.0236281656638,0.008898618011567,0.001378450905923,0.008899747689613,0.002513401700258,0.002613401700258,0.008633127967604,0.002002555163612,0.008633707112534,0.005006087868401,0.005106087868401,0.00884147742765,0.001992245554631,0.00884204292591,0.995528296125945,1.29717138859813,0.99518565713567,1.13250611115852,1.13147983056008,1.14624966785161,0.990015343183417,1.14521093279889,1.01100891940062,1.01024989568125,1.02327804383544,0.988600152031884,1.02250980896444,210.500553833028,20.1270005213615,211.603073105928,936.139782391045,937.342820302782,965.929320490842,1379.90576481874,967.170641086833,1715.51803004825,1699.03327642794,1770.10869127031,13510.5026779005,1753.09936513929
